Время (мс),Сигнал (В) 
93172, -0.00251118
93182, -0.00294245
93192, -0.00250678
93202, -0.00294744
93212, -0.00252635
93222, -0.00294037
93232, -0.00251498
93242, -0.00294804
93252, -0.00251796
93262, -0.00294423
93272, -0.00251701
93282, -0.00293763
93292, -0.00250606
93302, -0.00294851
93312, -0.00251011
93323, -0.0029503
93333, -0.00249958
93347, -0.00295369
93366, -0.00250957
93386, -0.00295036
93407, -0.00250969
93428, -0.00295446
93451, -0.00250951
93476, -0.00295512
93501, -0.00251504
93528, -0.00295631
93558, -0.00250648
93587, -0.00296928
93617, -0.00250112
93648, -0.00296196
93682, -0.00251338
93728, -0.00296529
93785, -0.00248423
93859, -0.00295607
93917, -0.00250672
93977, -0.00295791
94044, -0.00250112
94119, -0.00296535
94196, -0.00250856
94268, -0.00296844
94326, -0.0024944
94357, -0.00295946
94386, -0.00250446
94415, -0.00296172
94443, -0.00250077
94472, -0.00296553
94500, -0.00249387
94528, -0.00297094
94557, -0.00249595
94586, -0.00298064
94615, -0.00250249
94646, -0.00297457
94676, -0.00249173
94715, -0.00296249
94743, -0.00249428
94771, -0.00298885
94800, -0.00247888
94828, -0.00297225
94857, -0.00248179
94887, -0.00298528
94919, -0.00248899
94948, -0.00297035
94981, -0.00249631
95012, -0.00298902
95044, -0.00249506
95095, -0.00299313
95146, -0.00248346
95197, -0.00298474
95247, -0.00249071
95306, -0.00298195
95367, -0.00248108
95416, -0.00298302
95450, -0.00248756
95485, -0.0029851
95518, -0.00248721
95551, -0.00297885
95584, -0.00248239
95618, -0.00297665
95650, -0.00248602
95685, -0.00298397
95717, -0.00249351
95750, -0.00298373
95783, -0.00248346
95817, -0.00299247
95850, -0.00248738
95885, -0.00297814
95918, -0.00248001
95951, -0.00298343
95985, -0.00247311
96017, -0.00297826
96050, -0.0024975
96082, -0.00298778
96116, -0.00247727
96149, -0.00298147
96182, -0.00248251
96215, -0.00298058
96249, -0.00247108
96282, -0.00298111
96337, -0.00246704
96384, -0.00298968
96433, -0.00248132
96483, -0.00299123
96532, -0.00248072
96566, -0.00298617
96601, -0.00247198
96634, -0.00301205
96666, -0.00247394
96698, -0.00299313
96730, -0.00248042
96764, -0.00299664
96796, -0.0024784
96829, -0.00299331
96861, -0.00247019
96892, -0.00300056
96924, -0.00246865
96956, -0.00300562
96988, -0.00248227
97020, -0.00300074
97052, -0.00248036
97085, -0.00299973
97117, -0.00246894
97150, -0.00299408
97183, -0.00247007
97216, -0.00300384
97248, -0.0024652
97297, -0.0029936
97331, -0.00246008
97383, -0.00300485
97436, -0.00246109
97473, -0.00300259
97541, -0.00247567
97587, -0.00300419
97622, -0.00246686
97655, -0.00301306
97693, -0.00248673
97729, -0.00300467
97772, -0.00245609
97805, -0.00300164
97839, -0.00246793
97875, -0.00300033
97907, -0.00246871
97939, -0.00301002
97974, -0.00247001
98009, -0.00301633
98043, -0.0024674
98075, -0.00301633
98110, -0.00245324
98144, -0.00300746
98177, -0.00245455
98209, -0.00300687
98241, -0.00246436
98274, -0.00300854
98306, -0.0024599
98339, -0.00300782
98374, -0.00246621
98408, -0.00301472
98446, -0.00244848
98481, -0.00301335
98515, -0.0024649
98569, -0.00301389
98619, -0.00246139
98669, -0.00301651
98703, -0.00245556
98738, -0.0030149
98777, -0.00245651
98813, -0.0030177
98850, -0.00245651
98887, -0.00301758
98922, -0.00244342
98956, -0.00300205
98991, -0.0024624
99027, -0.00302103
99062, -0.00245294
99095, -0.00301948
99130, -0.00245544
99163, -0.00301924
99200, -0.00245092
99235, -0.00301758
99268, -0.00245003
99303, -0.00301127
99337, -0.00244604
99371, -0.00301728
99406, -0.00245496
99440, -0.00301151
99477, -0.00244301
99511, -0.00301853
99551, -0.002458
99585, -0.00301692
99628, -0.00244979
99663, -0.00300812
99714, -0.00245163
99749, -0.00303072
99785, -0.00244812
99820, -0.00302531
99853, -0.00244925
99889, -0.00303084
99923, -0.00244735
99957, -0.00303001
99991, -0.0024505
100042, -0.00303828
100075, -0.00244902
100108, -0.00303173
100142, -0.002448
