Время (мс),Сигнал (В) 
1217593, -0.0311594
1217603, -0.0321067
1217613, -0.0311854
1217623, -0.0320778
1217633, -0.0311983
1217644, -0.0320146
1217653, -0.0311295
1217664, -0.0320161
1217675, -0.0311482
1217684, -0.0320126
1217693, -0.0311156
1217706, -0.0320938
1217714, -0.0311543
1217723, -0.0320277
1217733, -0.0313012
1217743, -0.0320076
1217754, -0.031173
1217766, -0.031925
1217782, -0.0311109
1217800, -0.0320348
1217818, -0.0312399
1217839, -0.0319561
1217861, -0.0310967
1217882, -0.0320287
1217902, -0.0311667
1217924, -0.0319609
1217949, -0.0310898
1217971, -0.0319456
1217994, -0.0311596
1218018, -0.0320034
1218043, -0.0311104
1218077, -0.0319833
1218120, -0.0312237
1218165, -0.0320352
1218211, -0.0311834
1218259, -0.0320421
1218311, -0.0310911
1218371, -0.0319611
1218432, -0.0311689
1218495, -0.0319988
1218561, -0.0312274
1218629, -0.0319491
1218693, -0.0310485
1218744, -0.0320144
1218769, -0.0311298
1218795, -0.0320706
1218821, -0.0311576
1218846, -0.0320588
1218870, -0.031146
1218895, -0.0319768
1218920, -0.0312023
1218944, -0.0319866
1218968, -0.0311327
1218993, -0.0318941
1219017, -0.0311594
1219042, -0.0320136
1219067, -0.0311153
1219091, -0.0320992
1219122, -0.0311846
1219146, -0.0320493
1219170, -0.0311296
1219194, -0.0319951
1219220, -0.0311584
1219246, -0.0319845
1219287, -0.0312171
1219329, -0.0320003
1219369, -0.0310893
1219413, -0.0319587
1219458, -0.0311418
1219505, -0.0320253
1219549, -0.0312158
1219600, -0.0319401
1219646, -0.0311571
1219693, -0.0319213
1219741, -0.0311955
1219788, -0.0320146
1219837, -0.0311697
1219883, -0.0320124
1219925, -0.0310627
1219952, -0.0319265
1219978, -0.0312146
1220004, -0.0320267
1220032, -0.03118
1220058, -0.0320095
1220083, -0.031097
1220108, -0.0320437
1220134, -0.0312071
1220162, -0.0321032
1220191, -0.0312538
1220218, -0.0320436
1220243, -0.0311545
1220268, -0.0320224
1220293, -0.0311718
1220319, -0.0320691
1220358, -0.0312583
1220399, -0.0320151
1220440, -0.0312061
1220481, -0.0320719
1220521, -0.0311544
1220562, -0.0321012
1220601, -0.0310811
1220642, -0.0319615
1220688, -0.0310626
1220735, -0.0319828
1220782, -0.0311874
1220829, -0.0319951
1220875, -0.0311779
1220927, -0.0320972
1220966, -0.0311292
1221008, -0.0321033
1221035, -0.0311701
1221063, -0.0320283
1221090, -0.0312262
1221117, -0.0319997
1221144, -0.031172
1221170, -0.0319508
1221197, -0.0310736
1221226, -0.0320322
1221252, -0.0311441
1221278, -0.0320497
1221305, -0.0311871
1221333, -0.032032
1221360, -0.0310719
1221387, -0.0319945
1221431, -0.0311384
1221476, -0.0320045
1221521, -0.0312185
1221566, -0.0319528
1221592, -0.031227
1221637, -0.0319572
1221678, -0.0311942
1221722, -0.0319298
1221765, -0.031101
1221808, -0.0319589
1221849, -0.0311414
1221891, -0.0319876
1221932, -0.0312093
1221974, -0.0320168
1222016, -0.0311973
1222057, -0.0319242
1222102, -0.0311666
1222130, -0.0320476
1222157, -0.0311714
1222185, -0.0320682
1222213, -0.0310808
1222239, -0.0320218
1222266, -0.0311582
1222297, -0.0320229
1222325, -0.0311281
1222353, -0.0319909
1222382, -0.0311767
1222410, -0.0320297
1222438, -0.0311692
1222465, -0.0321051
1222510, -0.0312271
1222550, -0.0321636
1222593, -0.0311623
1222618, -0.0320373
1222660, -0.031258
1222699, -0.0320586
1222741, -0.0311302
1222781, -0.0320356
1222821, -0.0312323
1222861, -0.0319641
1222899, -0.0311519
1222939, -0.0320322
1222979, -0.0311682
1223018, -0.0319906
1223059, -0.0310587
1223099, -0.0319546
1223142, -0.0312312
1223180, -0.0319793
1223221, -0.0312077
1223245, -0.0320062
1223271, -0.0311377
1223294, -0.0319867
1223332, -0.0311236
1223358, -0.0319653
1223382, -0.0312532
1223418, -0.0320084
1223442, -0.031244
1223466, -0.0319406
1223490, -0.0311655
1223529, -0.0320891
1223565, -0.0311821
1223602, -0.0320472
1223640, -0.0311648
1223681, -0.0320203
1223722, -0.0310459
1223764, -0.0320652
1223803, -0.0311598
1223841, -0.0319702
1223880, -0.0310873
1223922, -0.031975
1223963, -0.031234
1224005, -0.0320487
1224046, -0.0311925
1224088, -0.0320136
1224127, -0.0311866
1224169, -0.0320471
1224204, -0.0311939
1224246, -0.0320779
1224274, -0.031193
1224300, -0.0321582
1224326, -0.0311396
1224363, -0.032018
1224388, -0.0311163
1224412, -0.0320354
1224452, -0.031202
1224477, -0.0320629
1224501, -0.0312343
1224527, -0.0320583
1224568, -0.0310139
1224594, -0.0319685
1224634, -0.0311982
1224672, -0.0321041
1224711, -0.0311017
1224748, -0.0320672
1224787, -0.0311337
1224827, -0.0320173
1224865, -0.0311344
1224905, -0.0319597
1224944, -0.0311494
1224983, -0.0321138
1225023, -0.031103
1225062, -0.031982
1225101, -0.0311742
1225139, -0.0320145
1225178, -0.0311145
1225216, -0.0320612
1225256, -0.0311976
1225294, -0.032017
1225334, -0.0311033
1225358, -0.0320007
1225399, -0.031041
1225426, -0.0320295
1225453, -0.0311736
1225479, -0.0320275
1225506, -0.0311713
1225534, -0.0319985
1225559, -0.0312003
1225600, -0.0319454
1225625, -0.0312002
1225667, -0.032
1225708, -0.0311184
1225751, -0.0320801
1225777, -0.0311341
1225820, -0.0320381
1225863, -0.0311318
1225904, -0.0320544
1225945, -0.0311696
1225973, -0.0319687
1226011, -0.0311923
1226051, -0.0319741
1226096, -0.0311507
1226136, -0.0321101
1226181, -0.0311775
1226209, -0.0319743
1226249, -0.0310882
1226291, -0.0320581
1226333, -0.0312119
1226374, -0.0320955
1226401, -0.0311661
1226426, -0.0320645
1226471, -0.0311773
1226499, -0.031951
1226526, -0.0312159
1226554, -0.0320453
