Время (мс),Сигнал (В) 
584266, -0.0136041
584276, -0.014526
584286, -0.013487
584296, -0.0143366
584306, -0.0137579
584316, -0.0145178
584326, -0.0135958
584336, -0.0144754
584346, -0.0135238
584356, -0.0144786
584366, -0.0135919
584376, -0.0144848
584386, -0.0136208
584396, -0.0144826
584406, -0.0135391
584416, -0.0143836
584426, -0.0135724
584436, -0.0145244
584456, -0.0135804
584471, -0.0145114
584488, -0.0135684
584506, -0.0144162
584532, -0.0135438
584559, -0.0144977
584579, -0.0135629
584602, -0.0144313
584624, -0.013514
584648, -0.0144256
584672, -0.0136099
584697, -0.01452
584723, -0.0137429
584756, -0.0144979
584799, -0.0135556
584850, -0.0144107
584897, -0.0135576
584946, -0.0144447
584999, -0.0135801
585063, -0.0144859
585127, -0.0135598
585195, -0.0143974
585262, -0.0135513
585333, -0.0145828
585396, -0.0135968
585439, -0.0146641
585464, -0.0135565
585486, -0.0143425
585507, -0.0135174
585528, -0.0144632
585549, -0.0136146
585571, -0.0143711
585591, -0.0136072
585612, -0.0144121
585633, -0.0135527
585653, -0.0144611
585674, -0.0135836
585694, -0.0144639
585716, -0.0135511
585737, -0.0143818
585759, -0.013536
585781, -0.014446
585805, -0.0136488
585828, -0.0144735
585864, -0.0135254
585906, -0.0143197
585943, -0.0135414
585984, -0.0144431
586023, -0.0135758
586063, -0.0144814
586103, -0.0136508
586144, -0.0144758
586184, -0.0136994
586225, -0.0143923
586265, -0.0135802
586305, -0.0147367
586347, -0.0135199
586385, -0.0143816
586425, -0.0135371
586469, -0.0144092
586505, -0.0136064
586542, -0.0145808
586578, -0.01368
586614, -0.0144299
586648, -0.013599
586683, -0.0144428
586714, -0.0135875
586747, -0.014456
586768, -0.0135619
586789, -0.0144494
586811, -0.0136162
586833, -0.0144714
586855, -0.0137504
586887, -0.0145923
586917, -0.0136142
586947, -0.0144946
586988, -0.0135416
587018, -0.0143988
587052, -0.0136388
587086, -0.0144504
587120, -0.0136114
587153, -0.0143048
587186, -0.0136013
587217, -0.0144504
587252, -0.0136576
587286, -0.014456
587320, -0.0135906
587355, -0.0143754
587396, -0.0135834
587439, -0.0143797
587481, -0.0136285
587524, -0.0145036
587566, -0.0137009
587609, -0.0143544
587652, -0.013548
587690, -0.0143378
587729, -0.0137238
587768, -0.0144463
587807, -0.0136253
587844, -0.0143955
587872, -0.0135696
587894, -0.0144106
587918, -0.0136363
587944, -0.0144118
587984, -0.0136446
588023, -0.0143745
588049, -0.0135931
588087, -0.014383
588115, -0.0135913
588154, -0.0144509
588181, -0.0136496
588221, -0.0144156
588247, -0.0136519
588286, -0.01441
588330, -0.0136084
588355, -0.014429
588398, -0.0135668
588423, -0.0143711
588463, -0.0135608
588504, -0.0144568
588546, -0.0136941
588583, -0.0144539
588625, -0.0136095
588670, -0.0143674
588712, -0.013653
588758, -0.0144062
588803, -0.0136063
588848, -0.0144109
588879, -0.0135924
588908, -0.0143135
588937, -0.0135739
588968, -0.0144761
588998, -0.0137029
589026, -0.0143876
589053, -0.0136738
589082, -0.0143854
589125, -0.0136519
589152, -0.0143431
589195, -0.0136166
589221, -0.0143878
589263, -0.0136819
589291, -0.0143758
589318, -0.0136408
589361, -0.0143436
589390, -0.0137051
589432, -0.0143459
589459, -0.0137313
589502, -0.0144079
589540, -0.0135595
589581, -0.0143166
589619, -0.0136363
589658, -0.0143718
589699, -0.0136865
589740, -0.0143953
589781, -0.0136304
589820, -0.0143475
589862, -0.0136545
589899, -0.0143312
589938, -0.0137055
589966, -0.0143478
590003, -0.0137283
590027, -0.0143355
590057, -0.0136971
590084, -0.0143735
590112, -0.0137164
590150, -0.0143522
590188, -0.0136439
590232, -0.0142723
590258, -0.0137314
590298, -0.0143581
590323, -0.0136941
590347, -0.014265
590384, -0.0136362
590423, -0.0145605
590460, -0.0136939
590481, -0.0143083
590512, -0.0136899
590543, -0.0143112
590573, -0.0136288
590609, -0.0142122
590644, -0.0137505
590677, -0.0143972
590710, -0.0137386
590743, -0.0143333
590774, -0.0136178
590808, -0.0143308
590842, -0.0137457
590875, -0.0143788
590908, -0.01371
590940, -0.0143131
590973, -0.0136204
591006, -0.0142687
591039, -0.0136656
591073, -0.0143314
591106, -0.014086
591138, -0.0143638
591170, -0.0137155
591202, -0.0142607
591233, -0.0136054
591263, -0.0142858
591293, -0.0137674
591325, -0.01427
591356, -0.013725
591386, -0.0141941
591414, -0.0138033
591442, -0.0142481
591470, -0.0137619
591506, -0.0142798
591543, -0.013754
591579, -0.014437
591612, -0.0137715
591645, -0.0142644
591678, -0.0136634
591710, -0.0143518
591744, -0.0137142
591778, -0.0142249
591810, -0.0137414
591841, -0.0142244
591873, -0.0137641
591905, -0.0142686
591937, -0.0137345
591968, -0.0142176
591999, -0.013762
592029, -0.0142265
592060, -0.0137275
592089, -0.0142748
592118, -0.0137601
592148, -0.0142844
592180, -0.013748
592211, -0.0142309
592241, -0.0138107
592271, -0.0142797
592304, -0.013706
592337, -0.0142815
592371, -0.0137993
592403, -0.0142715
592438, -0.0137639
592471, -0.014193
592504, -0.0137634
592537, -0.0142267
592569, -0.0138148
592601, -0.0142911
592633, -0.0138187
592672, -0.0142635
592709, -0.0138207
592747, -0.0143177
592786, -0.0138402
592831, -0.0142684
592876, -0.0137643
592917, -0.0142077
592958, -0.0137545
592998, -0.0143312
593039, -0.0137027
593079, -0.014144
593114, -0.0138233
593148, -0.014313
593183, -0.0138354
593205, -0.0142839
593239, -0.0138309
593272, -0.0141856
593296, -0.0138214
593329, -0.014327
593362, -0.0137778
593395, -0.0142261
593427, -0.0137965
593460, -0.0143434
593492, -0.0137025
593523, -0.01419
593553, -0.0138035
593585, -0.0142649
593616, -0.0138001
593647, -0.0141881
593679, -0.0137313
593711, -0.0141699
593745, -0.0138043
593780, -0.0142497
593813, -0.0138457
593846, -0.0142249
593879, -0.0138224
593911, -0.014176
593946, -0.0138155
593979, -0.0141584
594012, -0.0138123
594043, -0.0141857
594075, -0.0138731
594106, -0.0141668
594137, -0.0138201
594168, -0.0141596
594198, -0.01382
594228, -0.0141891
594258, -0.0138347
594287, -0.0141836
594317, -0.0138095
594346, -0.0141258
594375, -0.0138473
594403, -0.0142086
594430, -0.0138824
594457, -0.0141389
594485, -0.0138186
594512, -0.0140659
594543, -0.0137915
594576, -0.0140872
594609, -0.0138582
594641, -0.0141142
594672, -0.0138388
594704, -0.0141949
594735, -0.0138981
594773, -0.0141701
594812, -0.0138282
594848, -0.0141439
594883, -0.0138837
594921, -0.0141297
594959, -0.0138289
594996, -0.0140922
595034, -0.0138753
595072, -0.0141409
595108, -0.0138744
595142, -0.0141449
595179, -0.0138609
595212, -0.0141795
595245, -0.0139013
595276, -0.0141622
595307, -0.0137823
595338, -0.01408
595368, -0.0139147
595396, -0.0142053
595425, -0.0139386
595453, -0.0141732
595480, -0.013857
595508, -0.0140819
595536, -0.0138589
595563, -0.0140838
595591, -0.0138813
595618, -0.0140655
595644, -0.0137881
595670, -0.0141179
595698, -0.0138884
595728, -0.0140795
595754, -0.0140037
595780, -0.0141079
