	0.7 V	
8635532	-0.00111815
8635632	-0.00111821
8635732	-0.0011144
8635832	-0.00111708
8635932	-0.0011185
8636032	-0.00112076
8636132	-0.00112302
8636232	-0.0011094
8636331	-0.0010981
8636431	-0.00110399
8636532	-0.0011116
8636631	-0.00111815
8636731	-0.00111327
8636831	-0.00111142
8636931	-0.00111238
8637031	-0.00111018
8637131	-0.00111624
8637231	-0.00111511
8637331	-0.0011141
8637431	-0.00111119
8637531	-0.00111285
8637631	-0.00111487
8637731	-0.00111404
8637831	-0.00111612
8637931	-0.00111785
8638031	-0.00111791
8638131	-0.00111541
8638231	-0.00110958
8638331	-0.00110738
8638431	-0.00111119
8638531	-0.00111577
8638631	-0.0011119
8638731	-0.00110982
8638831	-0.00110768
8638931	-0.00111012
8639031	-0.00111059
8639131	-0.00111
8639231	-0.00110452
8639331	-0.00110893
8639431	-0.00111035
8639531	-0.00111345
8639631	-0.00110839
8639731	-0.00110345
8639831	-0.00109858
8639931	-0.00110845
8640031	-0.00110571
8640131	-0.00110678
8640231	-0.00110322
8640331	-0.00110934
8640432	-0.00111125
8640532	-0.0011166
8640632	-0.00112707
8640732	-0.00112088
8640832	-0.00111327
8640932	-0.00110274
8641032	-0.00111333
8641132	-0.00110542
8641232	-0.00110244
8641332	-0.00110137
8641432	-0.00111053
8641532	-0.00110452
8641632	-0.00110096
8641732	-0.00110345
8641832	-0.00110333
8641932	-0.00110797
8642032	-0.00110476
8642132	-0.00110441
8642232	-0.00110345
8642331	-0.00110244
8642431	-0.00109982
8642531	-0.00110209
8642631	-0.00110137
8642731	-0.00110054
8642831	-0.00110101
8642931	-0.00110268
8643031	-0.00110214
8643131	-0.00110185
8643231	-0.0011003
8643331	-0.00110161
8643431	-0.00110292
8643531	-0.00110417
8643631	-0.00110274
8643731	-0.0011003
8643831	-0.00110226
8643931	-0.00110072
8644031	-0.00109858
8644131	-0.00109935
8644231	-0.00109935
8644331	-0.00110161
8644431	-0.00109828
8644531	-0.00109917
8644631	-0.00109846
8644731	-0.00110173
8644831	-0.00110345
8644931	-0.00110244
8645031	-0.00109703
8645131	-0.00110375
8645231	-0.00110209
8645331	-0.0010959
8645431	-0.00109661
8645531	-0.00109887
8645631	-0.00109566
8645731	-0.00109632
8645832	-0.0011022
8645932	-0.00110292
8646032	-0.00109988
8646132	-0.00110345
8646232	-0.00110298
8646332	-0.00110387
8646432	-0.0011
8646532	-0.00110452
8646632	-0.00110292
8646732	-0.00110226
8646832	-0.00110339
8646932	-0.00109828
8647032	-0.0011003
