	30.5 V
2325189	-0.00316992
2325199	-0.00222101
2325209	-0.00318467
2325219	-0.00222434
2325229	-0.00317581
2325239	-0.00221357
2325249	-0.00317164
2325259	-0.00221042
2325269	-0.00318336
2325284	-0.00221631
2325297	-0.00317962
2325306	-0.00221078
2325315	-0.00318824
2325325	-0.00220399
2325335	-0.00318503
2325346	-0.00221095
2325359	-0.00318646
2325376	-0.0022213
2325400	-0.00319443
2325425	-0.00220691
2325455	-0.00319461
2325490	-0.00219555
2325525	-0.00320061
2325561	-0.00221821
2325598	-0.00320329
2325637	-0.00220144
2325677	-0.00319169
2325734	-0.00219953
2325782	-0.00320341
2325825	-0.0022059
2325871	-0.00320519
2325925	-0.00219733
2325996	-0.00319127
2326082	-0.00219757
2326169	-0.0032024
2326267	-0.00219793
2326309	-0.00320008
2326347	-0.00219745
2326376	-0.00319895
2326406	-0.00218972
2326435	-0.00320508
2326464	-0.00219358
2326493	-0.00321007
2326522	-0.00218972
2326552	-0.00320603
2326582	-0.00219757
2326612	-0.00320745
2326642	-0.00219174
2326672	-0.00320686
2326705	-0.00219382
2326744	-0.00321941
2326775	-0.00218698
2326808	-0.00322072
2326841	-0.00217764
2326876	-0.00321162
2326908	-0.00218038
2326940	-0.00321441
2326972	-0.00218472
2327008	-0.00321822
2327041	-0.00217455
2327076	-0.00321804
2327113	-0.00217746
2327148	-0.00322042
2327186	-0.00217401
2327224	-0.00321102
2327286	-0.00217616
2327346	-0.00322346
2327407	-0.00217794
2327444	-0.00323458
2327483	-0.00216021
2327522	-0.00323232
2327558	-0.0021692
2327594	-0.00322667
2327628	-0.0021645
2327664	-0.00323547
2327700	-0.00217187
2327734	-0.00323987
2327769	-0.00217193
2327804	-0.00323048
2327841	-0.00216491
2327877	-0.0032322
2327910	-0.00216771
2327944	-0.0032416
2327978	-0.00216325
2328012	-0.00324475
2328046	-0.00216337
2328080	-0.00325017
2328114	-0.00215748
2328148	-0.00324166
2328185	-0.00215355
2328224	-0.0032463
2328258	-0.0021551
2328294	-0.00324178
2328329	-0.00215456
2328368	-0.00324886
2328404	-0.00215777
2328445	-0.00323981
2328482	-0.00215153
2328521	-0.00324618
2328560	-0.00215569
2328599	-0.00324392
2328635	-0.00216075
2328672	-0.00325112
2328709	-0.00215718
2328745	-0.00324683
2328783	-0.0021545
2328820	-0.0032548
2328860	-0.00213761
2328900	-0.00324856
2328938	-0.00214772
2328974	-0.00325034
2329010	-0.00214844
2329047	-0.00326123
2329086	-0.00214951
2329121	-0.00324975
2329155	-0.00214701
2329189	-0.00325534
2329224	-0.0021482
2329259	-0.00325903
2329293	-0.00213422
2329331	-0.00325118
2329368	-0.00214308
2329404	-0.00327116
2329442	-0.00213333
2329481	-0.00325373
2329517	-0.00213808
2329553	-0.00326801
2329588	-0.00213469
2329625	-0.00325802
2329660	-0.00214504
2329696	-0.00325873
2329732	-0.00214231
2329768	-0.00327604
2329805	-0.002146
2329843	-0.00327634
2329880	-0.00212631
2329919	-0.00327098
2329955	-0.00213071
2329991	-0.00327307
2330026	-0.00213362
2330063	-0.00326099
2330099	-0.00213999
2330138	-0.00326783
2330175	-0.00213761
2330211	-0.0032695
2330247	-0.00213571
2330282	-0.00327592
2330322	-0.00212767
2330358	-0.00327455
2330394	-0.00213695
2330432	-0.00327533
2330470	-0.00212595
2330508	-0.00328229
2330548	-0.00213684
2330584	-0.00327759
2330623	-0.00212196
2330659	-0.00327699
2330697	-0.00212274
2330732	-0.00327771
2330770	-0.0021316
2330804	-0.00327122
2330841	-0.00213261
2330877	-0.00327295
2330916	-0.00212696
2330953	-0.00326861
2330990	-0.002125
2331027	-0.00327753
2331062	-0.00211506
2331099	-0.00325992
2331136	-0.00212756
2331173	-0.00328122
2331211	-0.00212292
2331249	-0.0032767
2331283	-0.00212381
2331318	-0.00326872
2331358	-0.00211393
2331395	-0.00328758
2331431	-0.00211649
2331469	-0.00327747
2331505	-0.00212244
2331541	-0.00326605
2331578	-0.0021219
2331614	-0.00328264
2331650	-0.0021206
2331686	-0.00327622
2331722	-0.00211239
2331760	-0.00328663
2331797	-0.00211078
2331834	-0.00327503
2331870	-0.00213309
2331907	-0.00328871
2331944	-0.00211667
2331980	-0.00328473
2332017	-0.00212863
2332056	-0.00328556
2332092	-0.00211185
2332129	-0.00327848
2332165	-0.00212161
2332202	-0.00328092
2332238	-0.00211138
2332275	-0.00327336
2332313	-0.00213172
2332349	-0.00329121
2332386	-0.00211554
2332423	-0.00326563
2332460	-0.00211881
2332495	-0.00328615
2332534	-0.00211417
2332570	-0.00328526
2332607	-0.00212506
2332642	-0.00327027
2332679	-0.00212292
2332716	-0.00327943
2332753	-0.00212411
2332789	-0.00327973
2332826	-0.00210912
2332865	-0.00328288
2332905	-0.00211655
2332943	-0.00328056
2332979	-0.00211953
2333018	-0.0032692
2333053	-0.00212042
2333089	-0.00328544
2333125	-0.00211459
2333162	-0.00327777
2333199	-0.00210989
2333236	-0.0032827
2333273	-0.00212262
2333311	-0.00327907
2333348	-0.0021219
2333384	-0.00327783
2333421	-0.00212202
2333458	-0.00328128
2333496	-0.00212095
2333533	-0.00327265
2333570	-0.00212113
2333609	-0.00327009
2333645	-0.00211982
2333683	-0.00328366
2333720	-0.00211495
2333755	-0.00327235
