	50.1 V
2368345	-0.00292853
2368355	-0.00377042
2368365	-0.0029224
2368375	-0.00378018
2368385	-0.0029296
2368395	-0.00377875
2368405	-0.00292478
2368415	-0.00377203
2368425	-0.00293097
2368435	-0.00378173
2368445	-0.00293031
2368455	-0.00377988
2368465	-0.00293204
2368475	-0.00377286
2368485	-0.00293787
2368495	-0.0037803
2368506	-0.00293775
2368521	-0.00378607
2368539	-0.00293531
2368561	-0.00377857
2368586	-0.00292633
2368620	-0.00376436
2368647	-0.00292775
2368676	-0.00377429
2368705	-0.00293543
2368737	-0.00377114
2368769	-0.00292936
2368802	-0.00377352
2368835	-0.00292341
2368870	-0.00376876
2368907	-0.00292008
2368947	-0.00375984
2369000	-0.00292954
2369064	-0.00376418
2369132	-0.00292353
2369205	-0.0037618
2369302	-0.0029337
2369400	-0.0037668
2369467	-0.00292912
2369500	-0.00375347
2369534	-0.00294114
2369564	-0.00376715
2369594	-0.00293043
2369624	-0.0037643
2369654	-0.00294715
2369684	-0.00376454
2369714	-0.00293614
2369744	-0.00376275
2369774	-0.00294203
2369805	-0.00377298
2369837	-0.00293775
2369867	-0.00376745
2369899	-0.00294512
2369930	-0.0037621
2369960	-0.00294239
2369991	-0.00375823
2370023	-0.00294554
2370054	-0.00376323
2370087	-0.00294102
2370119	-0.00376114
2370153	-0.0029481
2370186	-0.00375442
2370224	-0.00293406
2370258	-0.00375954
2370295	-0.00294828
2370333	-0.00375454
2370374	-0.00294536
2370436	-0.00375698
2370496	-0.00294881
2370555	-0.00375674
2370593	-0.00293043
2370631	-0.00375371
2370667	-0.00294709
2370703	-0.00375859
2370738	-0.00295196
2370773	-0.00375353
2370810	-0.00295155
2370844	-0.00374151
2370878	-0.00294364
2370912	-0.00374847
2370947	-0.00295161
2370982	-0.00374746
2371016	-0.00294572
2371051	-0.00374943
2371085	-0.00295916
2371120	-0.00373729
2371154	-0.00294286
2371187	-0.00374318
2371223	-0.00295357
2371259	-0.00374966
2371295	-0.00295226
2371331	-0.00374027
2371366	-0.0029575
2371401	-0.00373509
2371435	-0.0029475
2371473	-0.00373699
2371508	-0.0029641
2371544	-0.00374847
2371581	-0.00295583
2371618	-0.0037414
2371655	-0.00295875
2371693	-0.00373563
2371734	-0.00295964
2371772	-0.00373646
2371809	-0.00297189
2371848	-0.00373997
2371884	-0.00296957
2371921	-0.00374027
2371958	-0.00296089
2371994	-0.00374306
2372031	-0.00296136
2372066	-0.0037364
2372105	-0.00296035
2372140	-0.00374794
2372176	-0.00296273
2372213	-0.00373985
2372248	-0.00296803
2372287	-0.00372266
2372323	-0.00295827
2372360	-0.00373087
2372399	-0.00296797
2372434	-0.00372974
2372472	-0.00296226
2372508	-0.00373289
2372543	-0.00296933
2372582	-0.00372188
2372617	-0.00295916
2372655	-0.00372658
2372693	-0.00297951
2372729	-0.00372926
2372765	-0.00296684
2372800	-0.00373206
2372836	-0.0029691
2372871	-0.0037173
2372906	-0.00297201
2372940	-0.00371605
2372976	-0.00298058
2373011	-0.00372034
2373045	-0.00296773
2373080	-0.00372343
2373115	-0.00296856
2373150	-0.00371808
2373184	-0.00296731
2373220	-0.00371528
2373257	-0.00298932
2373293	-0.00372367
2373330	-0.00297576
2373367	-0.00371409
2373402	-0.00298302
2373440	-0.00371945
2373476	-0.00298195
2373513	-0.00370898
2373549	-0.00298373
2373585	-0.00371629
2373620	-0.002987
2373656	-0.00370553
2373692	-0.00299021
2373728	-0.003711
2373766	-0.0029829
2373803	-0.00370624
2373839	-0.00299277
2373877	-0.00371231
2373912	-0.00299521
2373949	-0.00371528
2373984	-0.00299818
2374020	-0.00369577
2374055	-0.00299063
2374092	-0.00369851
2374127	-0.00299795
2374162	-0.00370761
2374197	-0.0029983
2374231	-0.00369571
2374266	-0.00300253
2374301	-0.00370208
2374337	-0.00299473
2374376	-0.00369042
2374411	-0.00300544
2374446	-0.00369892
2374482	-0.00298956
2374518	-0.00369637
2374554	-0.00300086
2374589	-0.00368828
2374625	-0.00299705
2374660	-0.00368774
2374695	-0.00301318
2374730	-0.00369607
2374765	-0.0029898
2374802	-0.00368381
2374841	-0.00300509
2374877	-0.0036941
2374914	-0.00299711
2374949	-0.00368251
2374986	-0.00300996
2375021	-0.00368488
2375056	-0.00300848
2375091	-0.00369018
2375128	-0.00300919
2375165	-0.00368114
2375201	-0.00300235
2375236	-0.0036872
2375271	-0.00301633
2375306	-0.00368506
2375345	-0.00301199
2375382	-0.00368256
2375418	-0.00302198
2375453	-0.00368572
2375489	-0.00300437
2375527	-0.00367317
2375563	-0.0030218
2375598	-0.00369607
2375633	-0.00301026
2375668	-0.00367816
2375705	-0.00302275
2375741	-0.00367215
2375790	-0.00301924
2375828	-0.00367079
2375865	-0.00302364
2375899	-0.00367858
2375935	-0.00301978
2375970	-0.00367459
2376005	-0.00302103
2376041	-0.00367715
2376076	-0.00301442
2376112	-0.00366258
2376147	-0.00302852
2376181	-0.00368102
2376216	-0.00302662
2376251	-0.00367727
2376286	-0.00302388
2376320	-0.00366817
2376354	-0.00302608
2376388	-0.00365889
2376422	-0.00302281
2376457	-0.00367656
2376490	-0.00302472
2376524	-0.0036624
2376562	-0.00302561
2376597	-0.00366097
2376633	-0.00302436
2376669	-0.00365586
2376706	-0.00303197
2376741	-0.00367079
2376778	-0.00302198
2376816	-0.00366067
2376853	-0.00304185
2376889	-0.00365734
