	0.7 V
2187031	-0.00102338
2187131	-0.00102636
2187231	-0.00102189
2187332	-0.00102189
2187431	-0.00106057
2187532	-0.00104123
2187632	-0.00104123
2187731	-0.00103974
2187831	-0.00102189
2187931	-0.00103528
2188031	-0.00102487
2188131	-0.00104569
2188231	-0.00103826
2188331	-0.00102487
2188431	-0.00103528
2188531	-0.00103379
2188631	-0.00105016
2188731	-0.00105462
2188831	-0.00103082
2188932	-0.00105016
2189031	-0.00103974
2189131	-0.00104569
2189231	-0.00103974
2189331	-0.00102487
2189431	-0.00103826
2189531	-0.00104123
2189632	-0.00105313
2189731	-0.00104123
2189831	-0.00102338
2189931	-0.00102933
2190031	-0.00105611
2190131	-0.00105164
2190231	-0.00103528
2190331	-0.00102636
2190431	-0.00103974
2190531	-0.00104272
2190631	-0.00104867
2190731	-0.00103379
2190831	-0.00103082
2190932	-0.00102784
2191031	-0.00105164
2191131	-0.00105611
2191231	-0.00104421
2191331	-0.00101743
2191431	-0.00102784
2191531	-0.00104123
2191631	-0.00104718
2191731	-0.00104718
2191831	-0.00104272
2191931	-0.00104569
2192031	-0.00106503
2192131	-0.00104867
2192231	-0.00103826
2192331	-0.00103677
2192431	-0.00103231
2192531	-0.00104569
2192632	-0.00105759
2192731	-0.00106503
2192831	-0.00102784
2192931	-0.00103826
2193031	-0.00103677
2193131	-0.00104421
2193231	-0.00104867
2193331	-0.00103826
2193431	-0.00103082
2193531	-0.00105313
2193631	-0.00105164
2193731	-0.00105016
2193831	-0.00104867
2193931	-0.00103379
