	59 V
189391	-0.00328941
189401	-0.00365708
189411	-0.0032878
189421	-0.00364834
189431	-0.00329119
189441	-0.00365673
189451	-0.00329024
189461	-0.00366624
189471	-0.00328798
189481	-0.00365143
189491	-0.00328607
189501	-0.00366398
189516	-0.00328988
189524	-0.00365542
189532	-0.00329244
189542	-0.0036503
189551	-0.00328566
189565	-0.0036638
189581	-0.00328691
189600	-0.00366018
189619	-0.00328524
189639	-0.00366143
189665	-0.00329345
189689	-0.00365488
189715	-0.00328822
189743	-0.00366654
189771	-0.00329149
189800	-0.00365464
189831	-0.003279
189865	-0.00365631
189896	-0.00328768
189934	-0.003655
189979	-0.0032853
190032	-0.00365928
190090	-0.00328762
190151	-0.00365649
190213	-0.00328025
190283	-0.00365702
190353	-0.0032831
190433	-0.0036603
190496	-0.00328613
190541	-0.00365548
190572	-0.00328952
190600	-0.00365447
190629	-0.00329387
190657	-0.00365911
190685	-0.00329202
190713	-0.00365952
190741	-0.00329292
190769	-0.00366196
190797	-0.00329119
190826	-0.00365679
190855	-0.00329785
190886	-0.00365357
190921	-0.00329672
190950	-0.00365756
190979	-0.0032919
191011	-0.00366755
191040	-0.00328191
191068	-0.00365881
191097	-0.0032944
191127	-0.00365803
191158	-0.00329232
191188	-0.00365411
191219	-0.00329363
191251	-0.00365928
191287	-0.00329202
191319	-0.00365857
191372	-0.0032903
191423	-0.00365857
191480	-0.00328947
191538	-0.00366262
191596	-0.00328679
191647	-0.00366196
191682	-0.00328465
191713	-0.00366
191748	-0.00329321
191779	-0.00366636
191810	-0.00329196
191841	-0.00365887
191872	-0.00328839
191903	-0.00366065
191934	-0.00329845
191966	-0.00365458
191997	-0.00328441
192028	-0.00366101
192059	-0.00329167
192090	-0.00365976
192122	-0.00328114
192154	-0.00365934
192185	-0.00328798
192217	-0.00366511
192251	-0.00329637
192285	-0.00365905
192319	-0.00329125
192353	-0.00365441
192385	-0.00328822
192418	-0.00366345
192463	-0.0032897
192499	-0.00366339
192532	-0.00329089
192586	-0.00365744
192639	-0.00330041
192695	-0.00366065
192730	-0.00328715
192762	-0.00365881
192795	-0.00329244
192827	-0.0036663
192860	-0.00328655
192892	-0.00366517
192926	-0.00330029
192958	-0.00366714
192990	-0.0033019
193025	-0.00366119
193060	-0.0032928
193091	-0.00365928
193127	-0.00328679
193158	-0.00366083
193190	-0.00328881
193225	-0.00367219
193256	-0.00328673
193287	-0.00366612
193319	-0.00328947
193352	-0.0036672
193384	-0.00329744
193418	-0.00367469
193450	-0.00329988
193483	-0.00367749
193516	-0.00329452
193552	-0.00366975
193584	-0.00328429
193637	-0.00366327
193688	-0.00329066
193740	-0.0036531
193771	-0.00328673
193805	-0.0036638
193836	-0.00328709
193868	-0.00365803
193902	-0.00328102
193935	-0.00366089
193966	-0.00329054
193998	-0.00366648
194030	-0.00328221
194061	-0.00366702
194095	-0.00328685
194126	-0.0036644
194176	-0.0032922
194208	-0.00365875
194240	-0.00328465
194272	-0.00366791
194304	-0.0032856
194339	-0.00366844
194374	-0.00329149
194405	-0.00366089
194438	-0.00328048
194471	-0.00365869
194503	-0.00328352
194534	-0.00366345
194569	-0.00329274
194601	-0.00366351
194633	-0.00328839
194686	-0.00366833
