	59.1 V
2386813	-0.00355598
2386823	-0.00358352
2386833	-0.00355033
2386843	-0.00359233
2386853	-0.00356092
2386863	-0.00359244
2386873	-0.00356187
2386883	-0.0035975
2386893	-0.00355937
2386903	-0.00358287
2386913	-0.00356532
2386923	-0.00359042
2386933	-0.0035611
2386943	-0.00358305
2386953	-0.00356502
2386963	-0.00359102
2386973	-0.0035608
2386983	-0.0035909
2386993	-0.00356187
2387008	-0.00359465
2387018	-0.00355634
2387028	-0.00358608
2387040	-0.00356127
2387051	-0.00358358
2387063	-0.00356133
2387075	-0.00359447
2387088	-0.0035693
2387101	-0.0035859
2387115	-0.00356526
2387129	-0.00359215
2387143	-0.00356318
2387158	-0.00359024
2387180	-0.00355711
2387206	-0.00359096
2387230	-0.0035605
2387257	-0.00359256
2387282	-0.00357632
2387310	-0.00359691
2387336	-0.0035652
2387364	-0.00358834
2387396	-0.00356919
2387428	-0.00358644
2387463	-0.00356871
2387497	-0.00359512
2387531	-0.00356145
2387568	-0.00358858
2387605	-0.00356407
2387643	-0.00359387
2387682	-0.00356496
2387722	-0.00358822
2387767	-0.00356205
2387811	-0.00359714
2387858	-0.00356276
2387899	-0.0035931
2387950	-0.00356074
2387997	-0.00359096
2388034	-0.00356496
2388068	-0.00358679
2388100	-0.00356431
2388133	-0.00359167
2388158	-0.00355991
2388183	-0.00359131
2388203	-0.00356211
2388232	-0.00358596
2388254	-0.00356229
2388282	-0.00359256
2388311	-0.003563
2388334	-0.00358584
2388367	-0.00355681
2388390	-0.00359012
2388419	-0.00357186
2388447	-0.00359125
2388474	-0.00356002
2388502	-0.00359197
2388532	-0.00356056
2388561	-0.00359607
2388592	-0.00356788
2388625	-0.00358697
2388656	-0.00355628
2388687	-0.00359256
2388718	-0.00356675
2388750	-0.00359417
2388784	-0.00356835
2388817	-0.00359702
2388851	-0.00356496
2388887	-0.00359048
2388924	-0.00357341
2388956	-0.00359928
2388986	-0.00356425
2389019	-0.00359506
2389050	-0.00356591
2389081	-0.00359643
2389111	-0.00356038
2389142	-0.00359221
2389173	-0.00356413
2389205	-0.00359369
2389234	-0.00356157
2389265	-0.00358001
2389295	-0.00355991
2389324	-0.00358542
2389353	-0.0035577
2389382	-0.00358376
2389410	-0.00355497
2389437	-0.00358406
2389465	-0.00356597
2389495	-0.00358501
2389522	-0.00355503
2389550	-0.00358471
2389577	-0.00355759
2389603	-0.00357888
2389629	-0.00356008
2389654	-0.00359601
2389682	-0.00356568
2389709	-0.00359381
2389735	-0.00356264
2389762	-0.00359494
2389789	-0.00356294
2389816	-0.00358757
2389847	-0.00356645
2389877	-0.00359667
2389906	-0.00356407
2389936	-0.00359191
2389966	-0.00356919
2389997	-0.00359006
2390031	-0.00357264
2390062	-0.00359833
2390096	-0.00356347
2390126	-0.00358293
2390155	-0.00356609
2390183	-0.00359114
2390210	-0.00355991
2390238	-0.00359548
2390268	-0.00356246
2390297	-0.00359191
2390327	-0.00356877
2390359	-0.00359441
2390387	-0.00356502
2390415	-0.00359167
2390447	-0.0035671
2390476	-0.0035947
2390507	-0.00356556
2390538	-0.00359619
2390568	-0.00356252
2390604	-0.00359756
2390640	-0.00356508
2390680	-0.00358965
2390720	-0.00356639
2390758	-0.00358721
2390797	-0.00356478
2390833	-0.00358757
2390867	-0.00356336
2390900	-0.00359946
2390935	-0.00356722
2390967	-0.00359304
2390995	-0.00356663
2391028	-0.0035956
2391060	-0.00356389
2391095	-0.003584
2391130	-0.00357174
2391161	-0.00358477
2391190	-0.00356466
2391219	-0.00359244
2391248	-0.00355776
2391281	-0.00359203
2391309	-0.00356157
2391337	-0.0035934
2391364	-0.00356722
2391391	-0.00359423
2391418	-0.00355973
2391447	-0.00359851
2391477	-0.00356895
2391505	-0.00359512
2391534	-0.00355961
2391564	-0.00359346
2391594	-0.00356698
2391626	-0.00359238
2391656	-0.00356984
2391688	-0.00359453
2391717	-0.00357305
2391746	-0.00359042
2391774	-0.00355735
2391802	-0.00358566
2391831	-0.0035646
2391861	-0.00359108
2391894	-0.00356919
2391924	-0.00359238
2391953	-0.00356234
2391982	-0.00359185
2392012	-0.0035555
2392044	-0.00357817
2392075	-0.00355889
2392103	-0.00359369
2392132	-0.00355544
2392162	-0.00359119
2392194	-0.00356752
2392228	-0.00359006
2392260	-0.00356562
2392293	-0.00358441
2392324	-0.00356187
2392354	-0.00358905
2392383	-0.00356026
2392412	-0.00359215
2392442	-0.00356978
2392471	-0.00359137
2392500	-0.00356121
2392537	-0.00359631
2392581	-0.00356621
2392613	-0.00359524
2392643	-0.00356395
2392674	-0.00359197
2392705	-0.00356621
2392737	-0.00358876
2392770	-0.00356889
2392801	-0.00358792
2392832	-0.00356282
2392861	-0.00359613
2392893	-0.00356419
2392924	-0.0035834
2392956	-0.00356401
2392984	-0.00358554
2393013	-0.00357127
2393040	-0.0035881
2393067	-0.00355997
2393095	-0.0035928
2393125	-0.00356621
2393153	-0.00358822
2393182	-0.00356377
2393216	-0.00358667
2393249	-0.00355223
2393284	-0.00358394
2393308	-0.00356288
2393333	-0.00359494
2393358	-0.00356544
2393383	-0.00358376
2393409	-0.0035677
2393435	-0.00358757
2393459	-0.00356663
2393484	-0.00358424
