	30 V
11044	-0.00213896
11078	-0.00305028
11111	-0.00214741
11144	-0.00304349
11178	-0.00214575
11213	-0.003041
11249	-0.00214658
11284	-0.0030539
11318	-0.00212855
11352	-0.00305117
11385	-0.00213718
11420	-0.00303862
11454	-0.00214438
11490	-0.00304254
11526	-0.00215033
11560	-0.0030426
11594	-0.00214354
11629	-0.00304689
11683	-0.0021436
11717	-0.00305081
11754	-0.00213932
11789	-0.00305688
11822	-0.00215062
11857	-0.00303903
11890	-0.00214485
11923	-0.00304802
11957	-0.00214438
11990	-0.00303921
12024	-0.00214575
12060	-0.00304112
12100	-0.00214164
12133	-0.00305289
12167	-0.00214509
12201	-0.0030401
12234	-0.00214622
12268	-0.00305468
12302	-0.00214051
12337	-0.00304926
12371	-0.00214664
12404	-0.00303975
12439	-0.00215158
12473	-0.00304938
12507	-0.00214586
12542	-0.00304213
12576	-0.00214973
12609	-0.00304635
12643	-0.00215015
12677	-0.00303677
12728	-0.00214616
12762	-0.00304391
12796	-0.00214688
12829	-0.00304207
12864	-0.0021533
12900	-0.00304611
12933	-0.00215836
12967	-0.00304641
13001	-0.00214224
13036	-0.00303987
13070	-0.00214456
13103	-0.00304349
13137	-0.0021558
13171	-0.00303564
13204	-0.00216371
13238	-0.00303725
13271	-0.00214896
13304	-0.00304284
13338	-0.00214902
13372	-0.00303659
13407	-0.00214765
13441	-0.00304159
13475	-0.0021536
13509	-0.00304189
13542	-0.00214813
13593	-0.0030363
13627	-0.00215943
13662	-0.00303885
13697	-0.00214967
13731	-0.00303624
13765	-0.00215752
13799	-0.00303713
13834	-0.00215175
13868	-0.00303344
13902	-0.00216514
13940	-0.00303862
13976	-0.00215122
14011	-0.0030357
14045	-0.00215711
14080	-0.0030335
14114	-0.00214682
14148	-0.00303945
14183	-0.00216056
14216	-0.00302321
14250	-0.00215443
14284	-0.00302434
14318	-0.00216597
14352	-0.003031
14385	-0.00215271
14420	-0.0030294
14455	-0.00215425
14489	-0.00303969
14523	-0.00215497
14557	-0.00303933
14591	-0.0021602
14648	-0.00302303
14685	-0.00216056
14719	-0.00303195
14752	-0.00216383
14786	-0.00303041
14820	-0.0021668
14853	-0.00302678
14887	-0.00216044
14921	-0.00302047
14957	-0.00216193
14990	-0.00304046
15024	-0.00215776
15058	-0.00303529
15091	-0.00215425
15125	-0.00303356
15158	-0.00216609
15192	-0.00303404
15226	-0.00216044
15260	-0.0030294
15294	-0.00217305
15327	-0.00302862
15364	-0.00215158
15399	-0.00302607
15436	-0.0021768
15469	-0.00302892
15504	-0.00216359
15538	-0.00302285
15572	-0.002153
15606	-0.00302285
15639	-0.00216764
15692	-0.00302975
15725	-0.00217263
15759	-0.0030263
15793	-0.00215574
15829	-0.00302963
15862	-0.00215681
15896	-0.00302232
15932	-0.00216389
15966	-0.00303035
16000	-0.00217602
16035	-0.00302267
16069	-0.00216145
16105	-0.00302654
16138	-0.00215633
16172	-0.00301952
16205	-0.00216258
16239	-0.00302874
16272	-0.0021677
16306	-0.00302398
16340	-0.0021677
16375	-0.00301988
16411	-0.00216395
16446	-0.00301357
16482	-0.00216139
16516	-0.00302624
16550	-0.00216603
16583	-0.00302226
16618	-0.00216883
16653	-0.00302868
16689	-0.00217269
16743	-0.00301625
16777	-0.00216353
16812	-0.00302256
16845	-0.00216484
16881	-0.00302273
16916	-0.00215746
16952	-0.00303344
16989	-0.00216216
17022	-0.0030263
17061	-0.00215907
17097	-0.00301167
17131	-0.00217103
17165	-0.00301994
17200	-0.00216835
17233	-0.0030238
17267	-0.0021602
17301	-0.00301994
17335	-0.00216829
17368	-0.0030316
17402	-0.00216906
17435	-0.00301851
17469	-0.00217198
17504	-0.00301494
17538	-0.00216948
17574	-0.00301875
17611	-0.00216799
17644	-0.00302279
17678	-0.00218031
17712	-0.00301589
17749	-0.00216306
17785	-0.00301708
17818	-0.00216151
17851	-0.00302065
17885	-0.00217876
17918	-0.00301934
17952	-0.0021721
18004	-0.00302
18039	-0.00216657
18073	-0.00301494
18106	-0.00217002
18140	-0.00301006
18175	-0.00218233
18208	-0.00301685
18242	-0.00217721
18275	-0.00301244
18309	-0.00216157
18343	-0.00301554
18376	-0.00217501
18412	-0.00301583
18445	-0.0021815
18481	-0.00302047
18515	-0.00218328
18549	-0.00301399
18583	-0.00216817
18619	-0.00302131
18653	-0.00218554
18689	-0.00300608
18725	-0.00217941
18759	-0.00301334
18793	-0.00218286
18826	-0.00301215
18860	-0.00218227
18894	-0.00302386
18928	-0.00217323
18961	-0.00301821
18998	-0.00217394
19051	-0.00301048
19086	-0.00219012
19128	-0.00301066
19168	-0.00218221
19216	-0.00301304
19249	-0.00218269
19282	-0.00300965
19314	-0.00217406
19346	-0.00301577
19381	-0.0021878
19414	-0.00300459
19446	-0.00217608
19482	-0.00301286
19514	-0.00217347
19550	-0.00300406
19582	-0.00217263
19616	-0.00300257
19651	-0.00219042
19684	-0.00300519
19719	-0.00217347
19755	-0.00300876
19790	-0.00218394
19826	-0.00300721
19862	-0.00218846
19894	-0.00300037
19928	-0.0021884
19961	-0.00300816
19995	-0.00218316
20031	-0.00301191
20066	-0.00217686
20100	-0.0030078
20136	-0.00218376
20172	-0.00300566
20206	-0.00218275
20259	-0.00299936
20294	-0.00218608
20327	-0.00301191
20360	-0.0021809
20396	-0.00300697
20430	-0.00218721
20464	-0.00300584
20500	-0.00219226
20534	-0.00299965
20567	-0.00219577
20603	-0.00300971
20637	-0.00218465
20671	-0.00300382
20704	-0.0021831
20738	-0.00300025
20772	-0.00218637
20806	-0.00300072
20839	-0.00218477
20873	-0.00300429
20908	-0.00219649
20941	-0.00298722
20977	-0.00218887
21013	-0.00299733
21047	-0.00219988
21081	-0.00298383
21115	-0.00218667
21150	-0.00299858
21184	-0.00218929
21219	-0.00300007
21252	-0.00219137
21308	-0.0029921
21343	-0.00219203
21379	-0.00299115
21414	-0.00218251
21447	-0.00300763
21482	-0.0021859
21521	-0.00298496
21557	-0.00218947
21592	-0.00299995
21625	-0.00220053
21660	-0.00297979
21694	-0.00219244
21727	-0.00300572
21762	-0.00219327
21795	-0.00298663
21828	-0.00219304
21861	-0.0029962
21894	-0.00219339
21927	-0.00298062
21962	-0.0021925
21996	-0.002994
22030	-0.00219589
22076	-0.00299501
22111	-0.00218768
22157	-0.00299567
22193	-0.00219012
22227	-0.00298651
22260	-0.00219387
22292	-0.00299757
22325	-0.00218965
22358	-0.00297961
22391	-0.0022
22424	-0.00299252
22457	-0.0021978
22490	-0.00298936
22523	-0.00219405
22558	-0.00298449
22591	-0.00219542
22641	-0.00299133
22675	-0.0022022
22708	-0.00298454
22741	-0.00220291
22774	-0.00298799
22809	-0.00220737
22843	-0.00299698
22876	-0.00220565
22913	-0.00297979
22947	-0.00220232
22983	-0.00299965
23017	-0.00220017
23051	-0.00298996
23087	-0.00219137
23123	-0.00297741
23157	-0.00220172
23212	-0.00297461
23245	-0.00219976
23279	-0.00298199
23313	-0.00220148
23347	-0.00297312
23381	-0.00220339
23413	-0.00298199
23447	-0.00218744
23479	-0.00297675
23513	-0.00220589
23546	-0.00299228
23579	-0.00219803
23611	-0.00297336
23647	-0.00219571
23681	-0.00298443
23713	-0.00221005
23745	-0.0029717
23779	-0.00219565
