	40.2 V
2346579	-0.0029801
2346589	-0.00318449
2346599	-0.00298659
2346609	-0.00318634
2346619	-0.00297035
2346629	-0.00320632
2346639	-0.00299265
2346649	-0.00319383
2346659	-0.00298593
2346669	-0.00318027
2346679	-0.00298129
2346689	-0.00319651
2346702	-0.00298504
2346711	-0.00318818
2346723	-0.00299545
2346731	-0.00319812
2346739	-0.00298807
2346750	-0.00318574
2346764	-0.00299093
2346780	-0.00319151
2346799	-0.00298819
2346821	-0.00319056
2346843	-0.00299789
2346866	-0.0031924
2346892	-0.00298349
2346916	-0.00318759
2346942	-0.00298337
2346968	-0.00318997
2346995	-0.00298998
2347024	-0.00318158
2347053	-0.00300354
2347083	-0.00318872
2347125	-0.00299004
2347170	-0.00318354
2347220	-0.00299325
2347275	-0.00317486
2347333	-0.0029983
2347398	-0.00319591
2347463	-0.00298843
2347534	-0.00319258
2347609	-0.00298623
2347683	-0.00318443
2347729	-0.00299777
2347761	-0.00318229
2347790	-0.00300074
2347819	-0.00319252
2347848	-0.00299277
2347876	-0.00319068
2347904	-0.00299087
2347932	-0.00317735
2347960	-0.00300056
2347987	-0.00318776
2348016	-0.00299307
2348044	-0.00319633
2348071	-0.00300187
2348100	-0.00319098
2348129	-0.00299438
2348158	-0.0031808
2348189	-0.00299682
2348218	-0.00318021
2348250	-0.00298998
2348280	-0.00318479
2348310	-0.00299914
2348342	-0.00319365
2348373	-0.00299271
2348405	-0.00318069
2348436	-0.00300633
2348469	-0.00318913
2348501	-0.00300104
2348553	-0.00318509
2348602	-0.00300943
2348663	-0.00318544
2348720	-0.00300657
2348779	-0.00317985
2348831	-0.00300354
2348863	-0.00318794
2348894	-0.0029945
2348925	-0.00317843
2348956	-0.00300033
2348988	-0.00319092
2349018	-0.00299711
2349049	-0.00316956
2349078	-0.00300514
2349109	-0.00319032
2349140	-0.0030052
2349170	-0.00318556
2349200	-0.00300039
2349231	-0.00318925
2349261	-0.00300116
2349293	-0.00317997
2349324	-0.00301193
2349354	-0.0031858
2349387	-0.00300449
2349421	-0.00317587
2349453	-0.00301651
2349491	-0.00317438
2349531	-0.00301163
2349562	-0.00318158
2349594	-0.00301657
2349628	-0.0031739
2349660	-0.00299771
2349711	-0.00318211
2349759	-0.00301722
2349809	-0.00317004
2349856	-0.00300503
2349906	-0.00316498
2349936	-0.00301936
2349967	-0.00316147
2349998	-0.0030061
2350028	-0.00318711
2350061	-0.00301288
2350092	-0.0031723
2350124	-0.00300443
2350154	-0.00316611
2350184	-0.00300372
2350214	-0.00317551
2350247	-0.00301651
2350277	-0.00317444
2350308	-0.00301222
2350340	-0.00318669
2350370	-0.00301555
2350399	-0.00317141
2350428	-0.00301549
2350456	-0.00316641
2350485	-0.00301002
2350532	-0.0031742
2350561	-0.00302115
2350605	-0.00317379
2350633	-0.00301651
2350662	-0.00315993
2350690	-0.00301758
2350737	-0.00316718
2350783	-0.00302097
2350830	-0.00317081
2350877	-0.00302097
2350922	-0.00316397
2350966	-0.00301752
2351017	-0.00315975
2351047	-0.00301621
2351076	-0.00316314
2351106	-0.00300984
2351135	-0.00317355
2351164	-0.00301853
2351194	-0.0031588
2351223	-0.00301442
2351253	-0.00316129
2351284	-0.00301657
2351315	-0.00316409
2351343	-0.00302174
2351372	-0.00316284
2351405	-0.00302025
2351437	-0.00316564
2351470	-0.00302436
2351504	-0.00316873
2351536	-0.00303227
2351567	-0.003161
2351598	-0.00301603
2351645	-0.00316653
2351676	-0.00302091
2351707	-0.00316314
2351738	-0.00301056
2351770	-0.00315416
2351820	-0.00302132
2351872	-0.00315909
2351920	-0.00302483
2351969	-0.00315927
2351999	-0.00301627
2352047	-0.00315814
2352096	-0.00301353
2352127	-0.00314916
2352156	-0.00302299
2352186	-0.0031519
2352216	-0.00301663
2352247	-0.00314511
2352277	-0.0030287
2352308	-0.00315445
2352340	-0.00302596
2352370	-0.00315576
2352400	-0.00302602
2352429	-0.00314482
2352458	-0.00302019
2352486	-0.00314952
2352515	-0.00302596
2352543	-0.00314684
2352572	-0.00303358
2352602	-0.00315392
2352633	-0.00303025
2352677	-0.00315784
2352705	-0.00303388
2352749	-0.0031579
2352777	-0.00303941
2352808	-0.00315076
2352857	-0.00303417
2352904	-0.00314607
2352949	-0.00303007
2352997	-0.00314523
2353042	-0.00304435
