Время (мс)	Сигнал (В)
8438860	-0.00448157
8438960	-0.00448752
8439060	-0.00449233
8439160	-0.00448258
8439260	-0.00449162
8439360	-0.00447598
8439460	-0.00448532
8439560	-0.00450019
8439660	-0.00448746
8439759	-0.00448222
8439859	-0.00448294
8439959	-0.00447033
8440059	-0.00448472
8440159	-0.00448264
8440259	-0.00447961
8440359	-0.00448288
8440459	-0.00448401
8440559	-0.00448805
8440659	-0.00447687
8440759	-0.00448448
8440859	-0.0044736
8440959	-0.00448752
8441059	-0.0044774
8441159	-0.00447847
8441259	-0.00447395
8441359	-0.00448538
8441459	-0.0044774
8441559	-0.00448811
8441660	-0.00448656
8441760	-0.00447276
8441860	-0.00448442
8441960	-0.004473
8442060	-0.00448145
8442160	-0.00447467
8442260	-0.00447556
8442360	-0.00447021
8442460	-0.00448056
8442560	-0.00447401
8442660	-0.00447717
8442760	-0.00446943
8442860	-0.00447354
8442960	-0.00447734
8443060	-0.0044805
8443160	-0.00447187
8443260	-0.00447134
8443360	-0.00447604
8443460	-0.00446902
8443560	-0.00448145
8443660	-0.00447116
8443760	-0.00447693
8443860	-0.00446967
8443960	-0.00447508
8444060	-0.00446949
8444160	-0.00447437
8444260	-0.00446539
8444360	-0.00447056
8444460	-0.00447294
8444560	-0.00447134
8444660	-0.00446937
8444760	-0.00446842
8444859	-0.00447794
8444960	-0.0044846
8445059	-0.00448365
8445159	-0.00445968
8445259	-0.00445676
8445360	-0.00444445
8445459	-0.00445361
8445559	-0.00446551
8445659	-0.00447235
8445759	-0.0044636
8445859	-0.00445944
8445959	-0.00447651
8446059	-0.00447669
8446159	-0.00446539
8446259	-0.00446271
8446359	-0.00446908
8446459	-0.00445367
8446559	-0.0044335
8446659	-0.00446099
8446759	-0.0044658
8446859	-0.00446081
8446959	-0.00445641
8447059	-0.00446366
8447159	-0.00446931
8447259	-0.00445801
8447360	-0.00446087
8447460	-0.00445801
8447560	-0.00446027
8447660	-0.00446527
8447760	-0.00445325
