	40.7 V
139485	-0.0025531
139495	-0.00346756
139505	-0.00253769
139515	-0.00345721
139525	-0.00254608
139535	-0.00344894
139545	-0.00254287
139555	-0.00344603
139565	-0.00255322
139575	-0.00346132
139585	-0.00254287
139595	-0.00344722
139605	-0.00256868
139615	-0.00345507
139625	-0.00254144
139635	-0.0034402
139645	-0.00256238
139657	-0.00344074
139672	-0.00254239
139689	-0.00345406
139709	-0.00256791
139732	-0.00345097
139756	-0.00255732
139781	-0.00343568
139815	-0.00257422
139842	-0.0034496
139878	-0.00255405
139908	-0.00342884
139938	-0.00256178
139968	-0.00343735
140001	-0.00255369
140036	-0.00343907
140083	-0.00258011
140135	-0.00343639
140190	-0.00255881
140252	-0.00342676
140316	-0.00257624
140387	-0.00343372
140464	-0.00255673
140541	-0.00343009
140610	-0.00259147
140641	-0.00342813
140673	-0.00257154
140701	-0.00341938
140730	-0.0025807
140759	-0.00344508
140786	-0.00258302
140814	-0.00341825
140842	-0.00259034
140871	-0.0034104
140899	-0.00257404
140927	-0.00342259
140956	-0.00259712
140983	-0.00341932
141016	-0.00257309
141045	-0.00342253
141072	-0.00260467
141101	-0.0034245
141132	-0.00258338
141163	-0.00341159
141193	-0.0026083
141222	-0.00341914
141254	-0.00258956
141285	-0.00340861
141315	-0.00260616
141352	-0.00340148
141385	-0.00260003
141437	-0.00341462
141487	-0.00260896
141537	-0.00341968
141594	-0.00258201
141653	-0.00340445
141706	-0.00261276
141741	-0.00339904
141773	-0.00260116
141805	-0.00340742
141838	-0.00261009
141871	-0.00340403
141906	-0.00258826
141940	-0.00339053
141971	-0.00262424
142004	-0.00341177
142036	-0.00259498
142066	-0.00339773
142100	-0.00261479
142132	-0.0033913
142165	-0.00259284
142199	-0.00340481
142233	-0.00260622
142264	-0.00341087
142295	-0.00260622
142327	-0.00338458
142358	-0.00262924
142388	-0.00338613
142418	-0.00260568
142449	-0.00338399
142480	-0.00264019
142512	-0.00339416
142544	-0.00260616
142580	-0.00338708
142630	-0.00262359
142680	-0.00339178
142727	-0.00260711
142776	-0.00337697
142811	-0.0026227
142845	-0.00339053
142879	-0.00261728
142910	-0.00338089
142941	-0.00263079
142975	-0.0033913
143006	-0.00261782
143039	-0.00337495
143072	-0.00264108
