	20.2 V
2305329	-0.00189205
2305339	-0.00277886
2305349	-0.0018864
2305359	-0.00278106
2305369	-0.00190431
2305379	-0.00279254
2305389	-0.00190044
2305399	-0.00279474
2305409	-0.00189943
2305419	-0.0027907
2305429	-0.00189866
2305439	-0.00279094
2305449	-0.00189229
2305459	-0.00279909
2305469	-0.00192447
2305479	-0.00279808
2305491	-0.00190264
2305506	-0.00278023
2305528	-0.00190675
2305552	-0.00278612
2305581	-0.00190282
2305618	-0.00278332
2305653	-0.00189991
2305689	-0.00278225
2305725	-0.00190544
2305763	-0.00276417
2305803	-0.00189283
2305844	-0.00277369
2305886	-0.0019102
2305930	-0.00277113
2305977	-0.00189806
2306029	-0.00276595
2306100	-0.00189634
2306177	-0.00276631
2306252	-0.0019099
2306327	-0.00276792
2306404	-0.00190633
2306441	-0.00276351
2306474	-0.0019055
2306507	-0.00277833
2306536	-0.00191103
2306566	-0.00276137
2306595	-0.00191067
2306625	-0.00276346
2306655	-0.00192275
2306687	-0.00277172
2306719	-0.00191037
2306750	-0.00277232
2306781	-0.00192102
2306814	-0.00275941
2306845	-0.00191317
2306877	-0.00277172
2306909	-0.00191632
2306940	-0.00275935
2306972	-0.00191412
2307006	-0.00276762
2307039	-0.00191846
2307072	-0.00275697
2307108	-0.0019259
2307142	-0.00275923
2307179	-0.00192203
2307214	-0.00275673
2307250	-0.00191846
2307289	-0.00277196
2307327	-0.00192513
2307386	-0.00275055
2307444	-0.00192804
2307482	-0.00275043
2307519	-0.00194517
2307557	-0.00274609
2307595	-0.00191644
2307632	-0.00274733
2307667	-0.00192947
2307703	-0.00275554
2307740	-0.00193345
2307777	-0.00275138
2307813	-0.00194273
2307851	-0.0027465
2307885	-0.00192709
2307919	-0.00274543
2307956	-0.00193173
2307989	-0.00273853
2308024	-0.00194172
2308057	-0.00274299
2308091	-0.00194839
2308126	-0.00273383
2308160	-0.00193691
2308193	-0.00274014
2308229	-0.00194297
2308262	-0.00273276
2308295	-0.00194065
2308328	-0.002728
2308362	-0.00194791
2308399	-0.0027449
2308434	-0.00194981
2308472	-0.00272675
2308508	-0.00194613
2308543	-0.00272622
2308580	-0.00195368
2308615	-0.00272408
2308651	-0.00196391
2308689	-0.00273508
2308727	-0.00195309
2308762	-0.00273032
2308799	-0.00197016
2308835	-0.00271795
2308872	-0.00194975
2308908	-0.00270944
2308944	-0.00196492
2308982	-0.0027277
2309018	-0.00195219
2309057	-0.00271712
2309096	-0.00195909
2309131	-0.00270528
2309168	-0.0019635
2309203	-0.0027029
2309237	-0.00195796
2309272	-0.00270659
2309305	-0.00196516
2309340	-0.00269933
2309374	-0.00197069
2309408	-0.00270308
2309446	-0.00196932
2309480	-0.00269957
2309515	-0.00197527
2309549	-0.00270593
2309584	-0.00196867
2309618	-0.00269885
2309655	-0.0019858
2309689	-0.00269124
2309727	-0.00198283
2309766	-0.00268571
2309800	-0.00199092
2309834	-0.00268464
2309870	-0.0019839
2309905	-0.00269326
2309942	-0.00199026
2309978	-0.0026863
2310014	-0.00199181
2310048	-0.00268053
2310084	-0.00199865
2310119	-0.00268672
2310157	-0.00198432
2310192	-0.0026963
2310230	-0.00199568
2310267	-0.00267137
2310303	-0.00199193
2310340	-0.00266792
2310375	-0.00200222
2310410	-0.0026772
2310443	-0.00199818
2310478	-0.00268166
2310516	-0.00201453
2310551	-0.00266691
2310584	-0.00200609
2310622	-0.00266822
2310656	-0.0020112
2310691	-0.00267738
2310726	-0.00200299
2310763	-0.00267601
2310799	-0.00202018
2310835	-0.0026537
2310869	-0.00199913
2310905	-0.00265216
2310943	-0.00201953
2310977	-0.00267215
2311014	-0.00201091
2311052	-0.00265757
2311084	-0.00201638
2311120	-0.00265466
2311153	-0.0020231
2311187	-0.00264841
2311221	-0.00203589
2311256	-0.00265365
2311291	-0.0020272
2311326	-0.00264895
2311361	-0.00203286
2311397	-0.00263782
2311432	-0.00203
2311467	-0.00265162
2311505	-0.00203738
2311539	-0.00264442
2311574	-0.00203523
2311610	-0.00264788
2311643	-0.00204422
2311678	-0.00263836
2311715	-0.00203399
2311751	-0.00262878
2311786	-0.00204892
2311819	-0.00264764
2311854	-0.00204404
2311891	-0.0026352
2311926	-0.00204648
2311959	-0.00262057
2311992	-0.00204856
2312025	-0.00261873
2312062	-0.00206361
2312097	-0.0026308
2312132	-0.00205778
2312168	-0.00261587
2312204	-0.00206658
2312239	-0.0026016
2312274	-0.00205082
2312309	-0.00260302
2312343	-0.00206337
2312377	-0.0026214
2312412	-0.00204826
2312449	-0.00261908
2312483	-0.00206902
2312517	-0.00261189
2312553	-0.00205778
2312588	-0.00260165
2312622	-0.00206825
2312656	-0.00260927
2312689	-0.00206117
2312724	-0.00260677
2312760	-0.00206748
2312795	-0.00259743
2312828	-0.00207253
2312863	-0.00260374
2312898	-0.00209008
