	50.1 V
163391	-0.00299591
163401	-0.00352283
163411	-0.00300061
163421	-0.0035252
163431	-0.00299579
163441	-0.00351134
163451	-0.00300525
163461	-0.00352407
163471	-0.00299222
163481	-0.00352485
163491	-0.00300929
163501	-0.00351842
163511	-0.0030009
163521	-0.00352277
163531	-0.00300513
163542	-0.00351842
163553	-0.00299852
163568	-0.00351491
163585	-0.00299924
163603	-0.0035349
163624	-0.00299442
163646	-0.0035186
163671	-0.00300394
163702	-0.00352776
163728	-0.00299311
163755	-0.00352491
163783	-0.0030031
163811	-0.00353086
163840	-0.00298996
163872	-0.00353163
163903	-0.00299912
163937	-0.00353252
163986	-0.00298966
164040	-0.00353252
164101	-0.00300596
164163	-0.00353859
164231	-0.00299876
164300	-0.00352639
164377	-0.0029993
164452	-0.00353074
164515	-0.00299811
164547	-0.00352913
164578	-0.00299948
164607	-0.00353734
164639	-0.00299073
164670	-0.0035283
164699	-0.00299365
164729	-0.00352645
164757	-0.00299293
164786	-0.00353627
164814	-0.00299751
164842	-0.00353442
164871	-0.00298389
164903	-0.00353145
164933	-0.00300049
164962	-0.00353264
164994	-0.00298728
165023	-0.00352907
165053	-0.00300554
165084	-0.00352532
165115	-0.0029918
165146	-0.00353282
165178	-0.00299745
165209	-0.00352943
165242	-0.00299204
165274	-0.00353526
165308	-0.00298865
165342	-0.00353228
165393	-0.00299727
165452	-0.00352491
165517	-0.00298901
165576	-0.00353924
165629	-0.00298579
165662	-0.00353234
165695	-0.00300245
165728	-0.00353728
165762	-0.00299382
165797	-0.00353318
165829	-0.00299377
165863	-0.00353698
165896	-0.00298901
165928	-0.00353573
165963	-0.00299145
165997	-0.00354412
166031	-0.0029949
166062	-0.00353377
166095	-0.00300572
166127	-0.00353056
166158	-0.00299162
166189	-0.00354365
166220	-0.00300185
166251	-0.00353591
166283	-0.00298799
166314	-0.00354204
166346	-0.00299335
166377	-0.00354025
166409	-0.00299049
166442	-0.0035352
166476	-0.0029921
166510	-0.0035424
166563	-0.00299472
166617	-0.00353799
166675	-0.00299382
166709	-0.00354025
166742	-0.00298972
166777	-0.00353883
166812	-0.00299894
166846	-0.00354519
166881	-0.00298847
166917	-0.00352848
166953	-0.00299192
166989	-0.00354168
167023	-0.00298597
167058	-0.0035446
167093	-0.00299454
167130	-0.00353865
167163	-0.00299258
167196	-0.00353484
167228	-0.00298823
167262	-0.00354519
167294	-0.0029874
167328	-0.00354269
167360	-0.00299014
167396	-0.00353942
167429	-0.00299085
167462	-0.00354144
167495	-0.00299959
167527	-0.00353895
167560	-0.00298681
167594	-0.0035462
167629	-0.00299531
167663	-0.00354942
167716	-0.00299008
167749	-0.00353996
167782	-0.00299091
167816	-0.00354644
167849	-0.00298288
167886	-0.00353782
167920	-0.00299162
167955	-0.00354103
167992	-0.00298918
168026	-0.00354448
168062	-0.00298799
168097	-0.00354936
168132	-0.00298145
