	9.8 V
2276907	-0.00123587
2276916	-0.00222368
2276926	-0.00122754
2276937	-0.00222523
2276946	-0.00124931
2276956	-0.00222125
2276967	-0.00123004
2276977	-0.00222821
2276986	-0.00124099
2276996	-0.00222975
2277006	-0.00123581
2277016	-0.0022175
2277027	-0.00124551
2277036	-0.0022263
2277047	-0.00124485
2277057	-0.00224022
2277070	-0.00122867
2277086	-0.00222547
2277107	-0.00123908
2277128	-0.00223047
2277154	-0.00122778
2277183	-0.00222951
2277214	-0.00121428
2277244	-0.00223963
2277277	-0.00124687
2277309	-0.00221982
2277341	-0.00123171
2277374	-0.00223546
2277406	-0.00122796
2277441	-0.00223296
2277475	-0.00120868
2277515	-0.00223933
2277566	-0.00122171
2277624	-0.00222821
2277691	-0.00121939
2277767	-0.00223754
2277844	-0.00123385
2277929	-0.00224195
2278020	-0.00122011
2278062	-0.00223546
2278094	-0.00122647
2278127	-0.00224034
2278160	-0.00121154
2278190	-0.00223808
2278221	-0.00123492
2278251	-0.00223951
2278282	-0.00122534
2278314	-0.00222803
2278346	-0.00120464
2278379	-0.0022363
2278411	-0.00121796
2278445	-0.00224908
2278475	-0.00121743
2278506	-0.0022473
2278539	-0.00120642
2278569	-0.00224456
2278600	-0.00121404
2278632	-0.0022473
2278666	-0.00121047
2278699	-0.00224474
2278735	-0.00122124
2278768	-0.00224123
2278802	-0.00121672
2278837	-0.00224599
2278876	-0.00121523
2278915	-0.00224343
2278954	-0.00122106
2278992	-0.00225361
2279056	-0.00120583
2279116	-0.00225283
2279156	-0.00121291
2279197	-0.00226021
2279236	-0.00121672
2279271	-0.00225456
2279322	-0.0012047
2279358	-0.00224986
2279403	-0.00119221
2279439	-0.0022451
2279474	-0.00122022
2279509	-0.00224992
2279543	-0.00119726
2279576	-0.0022633
2279610	-0.00121023
2279642	-0.0022542
2279678	-0.00120857
2279714	-0.00226634
2279747	-0.00120446
2279782	-0.00226241
2279816	-0.00119935
2279849	-0.00226729
2279882	-0.00120916
2279918	-0.00225759
2279951	-0.00120797
2279986	-0.00226532
2280024	-0.00119917
2280060	-0.00225807
2280096	-0.00119304
2280133	-0.0022777
2280172	-0.00119619
2280207	-0.00227508
2280243	-0.00119905
2280278	-0.00226378
2280314	-0.00119857
2280351	-0.00227627
2280391	-0.00118792
2280429	-0.00225944
2280466	-0.00119328
2280503	-0.00226895
2280542	-0.00121213
2280581	-0.00226027
2280617	-0.00120226
2280652	-0.00226467
2280689	-0.00119048
2280729	-0.00228133
2280769	-0.00119102
2280807	-0.00226568
2280842	-0.00120523
2280878	-0.00228109
2280914	-0.00119423
2280950	-0.00227228
2280986	-0.00118721
2281021	-0.00228335
2281059	-0.00118144
2281100	-0.00228472
2281135	-0.00119244
2281170	-0.00227252
2281207	-0.00118858
2281242	-0.00227514
2281279	-0.00119227
2281316	-0.00228638
2281352	-0.00117508
2281388	-0.00226193
2281423	-0.00118293
2281460	-0.00226931
2281495	-0.00118899
2281531	-0.00225551
2281566	-0.00118269
2281604	-0.00226211
2281642	-0.00117734
2281678	-0.00227074
2281715	-0.0011931
2281752	-0.00227978
2281789	-0.00118667
2281825	-0.00228335
2281862	-0.00117734
2281897	-0.00228103
2281934	-0.00117775
2281970	-0.00228246
2282006	-0.00118352
2282043	-0.0022959
2282080	-0.00118186
2282118	-0.00228365
2282154	-0.0011887
2282192	-0.00229519
2282228	-0.0011677
2282265	-0.00228484
2282300	-0.00118418
2282343	-0.00229745
2282379	-0.00119197
2282416	-0.00228668
2282465	-0.0011837
2282504	-0.00229007
2282538	-0.00118221
2282575	-0.00228603
2282624	-0.00118435
2282664	-0.002294
2282699	-0.00117722
2282735	-0.00228787
2282771	-0.00117359
2282807	-0.00229108
2282842	-0.00117567
2282878	-0.00229245
2282913	-0.00118322
2282948	-0.00230161
2282983	-0.00117555
2283019	-0.0022846
2283058	-0.0011812
2283093	-0.0022918
2283127	-0.00117418
2283162	-0.00230024
2283198	-0.00117543
2283235	-0.00230179
2283272	-0.00116187
2283309	-0.00229941
2283345	-0.00117775
2283380	-0.00229477
2283415	-0.00116407
2283453	-0.00229792
2283490	-0.00116907
2283527	-0.00228739
2283564	-0.00117519
2283603	-0.00228888
2283641	-0.00118388
2283678	-0.0023003
2283714	-0.00115313
2283753	-0.00229566
2283790	-0.00115973
2283826	-0.00230512
2283863	-0.00115967
2283900	-0.00229406
2283940	-0.00116145
2283977	-0.00231416
2284015	-0.00116449
2284051	-0.00230042
2284086	-0.00116133
2284122	-0.00229935
2284158	-0.00116145
2284194	-0.00229983
2284230	-0.00116104
2284266	-0.00231279
2284302	-0.00116306
2284338	-0.00229774
2284374	-0.00117264
2284410	-0.00230667
2284445	-0.00116669
2284482	-0.00230322
2284520	-0.00115556
2284556	-0.00229852
2284592	-0.00116651
2284637	-0.00229971
2284673	-0.00116776
2284711	-0.00230566
2284750	-0.00116282
2284787	-0.00229257
2284824	-0.00116068
2284861	-0.00229965
2284897	-0.00115711
2284933	-0.00230119
2284971	-0.00115491
2285009	-0.00230726
2285047	-0.00114813
2285083	-0.00230714
2285120	-0.00117555
2285156	-0.0023094
2285195	-0.00116163
2285230	-0.00230732
2285267	-0.00117216
2285302	-0.00230548
2285340	-0.0011583
2285375	-0.0023053
2285412	-0.00116252
2285447	-0.00229977
2285482	-0.00115426
2285519	-0.00230762
2285557	-0.00116502
2285594	-0.00231868
2285633	-0.00116133
2285669	-0.00230649
2285705	-0.00116936
2285741	-0.00231363
2285776	-0.00115348
2285813	-0.00230982
2285849	-0.00115396
2285886	-0.00232142
2285925	-0.00115152
2285963	-0.00229751
2286000	-0.00116336
2286036	-0.00231196
2286071	-0.00114926
2286108	-0.00230619
2286145	-0.00115075
2286183	-0.00231059
2286219	-0.00114325
2286255	-0.00230762
2286294	-0.00115937
2286330	-0.00230441
2286367	-0.00114771
2286404	-0.00231184
2286442	-0.00115473
2286477	-0.0023094
2286514	-0.00115075
2286549	-0.00231131
2286587	-0.00116312
2286625	-0.00231208
2286661	-0.00115223
2286700	-0.00231517
2286735	-0.00114343
2286773	-0.00232059
2286811	-0.00115449
2286848	-0.0023047
2286887	-0.00115289
2286923	-0.00231422
2286961	-0.00115176
2286999	-0.00230232
2287037	-0.00115693
2287073	-0.00229792
2287110	-0.00116062
2287145	-0.00230417
2287185	-0.00116288
2287220	-0.00231065
2287255	-0.00114658
2287292	-0.00231327
2287330	-0.00115104
2287366	-0.00231422
2287406	-0.00115205
2287441	-0.0023147
2287481	-0.00117115
2287515	-0.00232189
2287551	-0.00115164
2287586	-0.00230702
2287622	-0.00115092
2287660	-0.00230476
2287696	-0.0011464
2287732	-0.0023194
2287771	-0.00114825
2287807	-0.00229525
2287844	-0.00114932
2287880	-0.00231262
2287916	-0.00116074
2287952	-0.00231464
2287988	-0.00115408
2288026	-0.00231505
2288065	-0.00114991
2288105	-0.00231714
2288142	-0.00114319
2288180	-0.00229697
2288217	-0.00115687
2288255	-0.00230673
2288293	-0.00115104
2288329	-0.00231327
2288366	-0.00115539
2288404	-0.00232713
2288444	-0.00112891
2288481	-0.0023172
2288515	-0.00115586
2288550	-0.00229661
2288587	-0.00115021
2288623	-0.00229804
2288657	-0.00115449
2288693	-0.00231238
2288728	-0.0011301
2288765	-0.0023006
2288799	-0.00115057
2288835	-0.00230066
2288870	-0.00113808
2288906	-0.00229673
