Время (мс)	Сигнал (В)
8602376	-0.00274228
8602476	-0.00275001
8602576	-0.00275013
8602676	-0.00274489
8602776	-0.00275042
8602876	-0.00274239
8602976	-0.00275144
8603076	-0.00274793
8603176	-0.00274519
8603276	-0.00274668
8603375	-0.0027459
8603476	-0.00273621
8603575	-0.00274816
8603675	-0.00274787
8603775	-0.00274442
8603875	-0.0027515
8603975	-0.00274251
8604075	-0.00274906
8604175	-0.00274156
8604275	-0.00274763
8604375	-0.00274519
8604475	-0.00274222
8604575	-0.00274977
8604675	-0.00274858
8604775	-0.00274733
8604875	-0.00273835
8604975	-0.00275382
8605075	-0.00274329
8605175	-0.00274816
8605275	-0.00275037
8605375	-0.00274418
8605475	-0.00274109
8605575	-0.00274471
8605675	-0.002744
8605775	-0.00274489
8605875	-0.00274953
8605975	-0.0027459
8606075	-0.00274543
8606175	-0.00274513
8606275	-0.00275471
8606375	-0.00274132
8606475	-0.00275227
8606575	-0.00274686
8606675	-0.00274323
8606775	-0.00274882
8606875	-0.00273865
8606975	-0.00275007
8607075	-0.00274406
8607175	-0.00274192
8607275	-0.00274876
8607375	-0.00274852
8607475	-0.0027484
8607575	-0.00275161
8607675	-0.00274299
8607775	-0.00274382
8607875	-0.00274442
8607975	-0.00273823
8608075	-0.00273936
8608175	-0.00274287
8608275	-0.0027396
8608375	-0.00274168
8608475	-0.0027465
8608575	-0.00274567
8608675	-0.00273918
8608775	-0.00275304
8608875	-0.0027352
8608975	-0.00274186
8609075	-0.00275102
8609176	-0.00273978
8609276	-0.00274519
8609375	-0.00274537
8609476	-0.00274138
8609576	-0.00274662
8609676	-0.00274537
8609775	-0.00273181
8609875	-0.0027396
8609976	-0.00274073
8610075	-0.00275887
8610175	-0.00274644
8610275	-0.00275084
8610375	-0.00274465
8610475	-0.00275578
8610575	-0.00274364
8610675	-0.00274299
8610775	-0.00274281
8610875	-0.00274483
8610975	-0.00273847
8611075	-0.00274281
8611175	-0.00274132
8611275	-0.00274115
8611375	-0.00274941
8611475	-0.00273395
8611575	-0.00274715
8611675	-0.00275453
8611775	-0.00274632
8611875	-0.00275179
8611975	-0.00273877
8612075	-0.00273633
8612175	-0.00275191
8612275	-0.00274912
8612375	-0.00274269
8612475	-0.00274531
8612575	-0.00274204
8612675	-0.00274347
8612775	-0.00274805
8612875	-0.00274519
8612975	-0.00274454
8613075	-0.00274894
8613175	-0.00273615
8613275	-0.00275072
8613375	-0.00275031
8613475	-0.00273817
8613575	-0.00274543
8613675	-0.00274323
8613775	-0.00274692
8613875	-0.00274638
8613975	-0.00274929
8614075	-0.00274465
8614175	-0.00274454
8614275	-0.00274007
8614375	-0.0027509
8614475	-0.00274912
8614575	-0.00274198
8614675	-0.00274364
8614775	-0.00273645
