Время (мс)	Сигнал (В)
2123845	-0.00411229
2123855	-0.00507072
2123865	-0.00410122
2123875	-0.00503931
2123885	-0.00411508
2123895	-0.00503348
2123905	-0.00410884
2123915	-0.0050499
2123925	-0.00410884
2123935	-0.00504228
2123945	-0.00409111
2123955	-0.00503348
2123969	-0.00412775
2123978	-0.00507066
2123987	-0.00412948
2123996	-0.00505519
2124007	-0.00410765
2124020	-0.00504103
2124037	-0.00411294
2124057	-0.0050631
2124082	-0.004145
2124109	-0.00503336
2124135	-0.004108
2124162	-0.00502527
2124193	-0.00410093
2124221	-0.00505787
2124251	-0.00411812
2124285	-0.0050471
2124326	-0.00412056
2124361	-0.00501575
2124397	-0.00414982
2124437	-0.00503645
2124500	-0.00412442
2124569	-0.00502973
2124650	-0.00414524
2124724	-0.00503152
2124798	-0.0041274
2124879	-0.0050286
2124955	-0.00414239
2124989	-0.00500838
2125021	-0.00412966
2125054	-0.00501165
2125083	-0.00414691
2125113	-0.00504883
2125142	-0.00412526
2125174	-0.00503247
2125202	-0.00412811
2125230	-0.0050314
2125260	-0.00414554
2125288	-0.00500814
2125320	-0.00413876
2125355	-0.00502015
2125387	-0.00414536
2125418	-0.00501908
2125448	-0.00414274
2125478	-0.00502914
2125511	-0.00413501
2125542	-0.0050217
2125575	-0.00414768
2125606	-0.00500861
2125639	-0.00415654
2125674	-0.00500623
2125708	-0.00414025
2125743	-0.00500231
2125778	-0.00416142
2125813	-0.00500177
2125851	-0.00414798
2125913	-0.00500873
2125969	-0.0041682
2126030	-0.00502224
2126066	-0.00415464
2126102	-0.00497512
2126140	-0.00413822
2126174	-0.00497179
2126212	-0.00416951
2126245	-0.00498363
2126281	-0.00415428
2126315	-0.00499475
2126352	-0.00416309
2126386	-0.00498601
2126421	-0.00417017
2126456	-0.00498536
2126489	-0.00415577
2126523	-0.00495222
2126556	-0.00417522
2126588	-0.00498208
2126623	-0.00416112
2126658	-0.0049524
2126691	-0.00417011
2126723	-0.0049499
2126757	-0.00418545
2126788	-0.00495341
2126821	-0.00419105
2126852	-0.00497732
2126883	-0.0041757
2126916	-0.00498631
2126947	-0.00417171
2126982	-0.00494032
2127016	-0.00419777
2127069	-0.00496436
2127106	-0.00420318
2127141	-0.00494871
2127177	-0.00417451
2127213	-0.00494699
2127248	-0.00419188
2127285	-0.00497239
2127320	-0.00421954
2127358	-0.00495192
2127394	-0.00420621
2127427	-0.00494883
2127461	-0.00420687
2127495	-0.00496668
2127529	-0.00420187
2127565	-0.0049179
2127600	-0.00422507
2127634	-0.00492111
2127667	-0.00422579
2127700	-0.0049364
2127735	-0.00421365
2127770	-0.00491861
2127802	-0.00422013
2127838	-0.00492218
2127874	-0.00420889
2127909	-0.00492188
2127941	-0.00421008
2127973	-0.00491552
2128005	-0.00424256
2128038	-0.00491707
2128071	-0.00424482
2128106	-0.00489321
2128158	-0.00425368
2128191	-0.00489797
2128221	-0.00423203
2128254	-0.00491546
2128285	-0.00422894
2128339	-0.00491124
2128371	-0.00424333
2128405	-0.00490445
2128439	-0.00424559
2128471	-0.0048784
2128503	-0.00427284
2128533	-0.00490868
2128567	-0.00423792
2128600	-0.00488292
2128653	-0.00426267
2128687	-0.00488845
2128721	-0.00425357
2128755	-0.00487394
2128790	-0.0042613
2128823	-0.00489993
2128857	-0.00426921
2128890	-0.00486347
2128924	-0.00425273
2128957	-0.00487251
2128990	-0.00427873
2129026	-0.00484622
2129060	-0.00426219
2129093	-0.00485865
2129126	-0.00426945
2129158	-0.00485936
2129210	-0.00427599
2129242	-0.00485288
2129275	-0.00429009
2129307	-0.00486644
2129339	-0.00428545
2129394	-0.00484973
2129428	-0.00429045
2129460	-0.00484765
2129492	-0.00429907
2129523	-0.00484164
2129554	-0.00428932
2129585	-0.00482106
2129616	-0.00430758
2129650	-0.00484687
2129702	-0.00428581
2129734	-0.00484669
2129766	-0.00433322
2129796	-0.00484027
2129827	-0.00429062
2129868	-0.00481291
2129904	-0.00431495
2129938	-0.00486085
2129971	-0.00431329
2130006	-0.00483016
2130038	-0.00430984
2130071	-0.00482724
2130105	-0.00429877
2130137	-0.00482546
2130170	-0.00432685
2130202	-0.00481582
2130253	-0.00432471
2130285	-0.00481166
2130318	-0.00432751
2130351	-0.00481154
2130384	-0.00433191
2130438	-0.00478929
2130472	-0.00432917
2130503	-0.00481749
2130534	-0.00433821
2130563	-0.00480767
2130596	-0.00433673
2130629	-0.00479393
2130658	-0.00432328
2130690	-0.00478697
2130741	-0.00432483
2130770	-0.0047909
2130801	-0.00435112
2130833	-0.00479637
2130862	-0.00434226
2130910	-0.00479905
2130940	-0.0043444
2130969	-0.00481588
2131019	-0.00434862
2131052	-0.0047865
2131083	-0.00435612
2131114	-0.0047909
2131146	-0.00434505
2131184	-0.00477531
2131218	-0.00435172
2131253	-0.00477525
2131306	-0.00436825
2131339	-0.00477121
2131371	-0.00434833
2131405	-0.00478917
2131440	-0.0043679
2131478	-0.0047793
2131509	-0.00435201
2131541	-0.0047724
2131574	-0.00437277
2131606	-0.00477186
2131638	-0.00437022
2131668	-0.00476722
2131698	-0.00437188
2131731	-0.00474634
2131780	-0.00436141
2131812	-0.00475146
2131843	-0.00439377
2131876	-0.00477079
2131908	-0.00437319
2131956	-0.00475943
2131987	-0.00437967
2132019	-0.00472975
2132071	-0.00437914
2132104	-0.00472689
2132136	-0.00439395
2132167	-0.00473778
2132197	-0.0043698
2132228	-0.0047561
2132259	-0.00440525
2132291	-0.00473891
2132340	-0.00438955
2132370	-0.00473468
2132418	-0.00439633
2132449	-0.00472636
2132479	-0.00439163
2132513	-0.00473873
2132554	-0.00441299
2132584	-0.00472517
2132615	-0.00438759
2132645	-0.00472148
2132675	-0.00443143
2132705	-0.00472392
2132734	-0.00441929
2132763	-0.00472142
2132809	-0.00442054
2132854	-0.00473373
2132884	-0.00441816
2132912	-0.0047276
2132942	-0.00442387
2132990	-0.00470744
2133019	-0.00441888
2133066	-0.00472582
2133112	-0.00441168
2133141	-0.00471095
2133169	-0.00441049
2133196	-0.00470423
2133242	-0.00442191
2133270	-0.00471267
2133306	-0.00440977
2133355	-0.00470173
2133386	-0.00443517
