Время (мс),Сигнал (В) 
1058000, -0.0128896
1058010, -0.0135885
1058020, -0.0128611
1058030, -0.0137216
1058040, -0.0129411
1058050, -0.0136904
1058060, -0.0129009
1058070, -0.0138191
1058080, -0.0131422
1058090, -0.0137388
1058100, -0.0129591
1058110, -0.0137277
1058120, -0.0129471
1058130, -0.0137655
1058140, -0.0128847
1058150, -0.0137226
1058160, -0.0128709
1058170, -0.0135116
1058180, -0.0127325
1058195, -0.0136548
1058206, -0.0129779
1058218, -0.0137243
1058231, -0.0129136
1058244, -0.013745
1058258, -0.0128968
1058273, -0.0137971
1058289, -0.012996
1058306, -0.0138633
1058323, -0.0130012
1058341, -0.0137355
1058358, -0.0128079
1058376, -0.0136566
1058399, -0.0128498
1058423, -0.0137658
1058450, -0.0128787
1058478, -0.0137622
1058509, -0.012791
1058541, -0.013689
1058580, -0.0129694
1058620, -0.0138264
1058663, -0.0129624
1058706, -0.0138018
1058753, -0.0129518
1058801, -0.0137732
1058852, -0.0128354
1058906, -0.013649
1058960, -0.0129117
1059017, -0.0137798
1059074, -0.0129642
1059124, -0.0136906
1059169, -0.0128915
1059206, -0.0137228
1059242, -0.0128906
1059275, -0.0137577
1059297, -0.0129211
1059318, -0.0138809
1059338, -0.0129731
1059359, -0.0137518
1059379, -0.0128214
1059399, -0.0137836
1059420, -0.0129756
1059440, -0.0137369
1059460, -0.0126997
1059481, -0.0136016
1059500, -0.0128852
1059520, -0.0137849
1059538, -0.0129724
1059566, -0.0138014
1059596, -0.0129737
1059625, -0.0138216
1059655, -0.0129803
1059689, -0.0137771
1059721, -0.012822
1059753, -0.0138193
1059786, -0.012926
1059820, -0.0136676
1059855, -0.0128217
1059890, -0.0137304
1059926, -0.0128403
1059962, -0.013794
1059999, -0.0129274
1060038, -0.0137596
1060078, -0.0128488
1060115, -0.0136686
1060154, -0.0128957
1060192, -0.0137721
1060232, -0.0129022
1060273, -0.0138545
1060312, -0.0130165
1060349, -0.0138108
1060387, -0.0128734
1060423, -0.0137677
1060458, -0.0129851
1060493, -0.013798
1060525, -0.0127748
1060550, -0.013635
1060573, -0.0127907
1060596, -0.0137917
1060633, -0.0128593
