Время (мс),Сигнал (В) 
1282827, -0.0152493
1282837, -0.0154436
1282847, -0.0153101
1282857, -0.0154245
1282867, -0.0151684
1282877, -0.0155068
1282887, -0.0154722
1282897, -0.0157048
1282907, -0.0154321
1282917, -0.0156901
1282927, -0.0154191
1282937, -0.0156534
1282947, -0.0153431
1282957, -0.0156173
1282967, -0.0153384
1282977, -0.0155139
1282987, -0.0152488
1282997, -0.0154401
1283007, -0.0152955
1283017, -0.0155063
1283027, -0.0153827
1283037, -0.0154475
1283047, -0.0152189
1283057, -0.015499
1283067, -0.0154822
1283077, -0.0155807
1283087, -0.0154235
1283097, -0.0156464
1283107, -0.0152718
1283118, -0.0154635
1283128, -0.0153171
1283138, -0.0157154
1283148, -0.0153534
1283158, -0.0154792
1283169, -0.0152691
1283178, -0.0155365
1283188, -0.0152693
1283198, -0.0155662
1283208, -0.0153831
1283218, -0.0153945
1283228, -0.0152344
1283238, -0.0154223
1283248, -0.0154612
1283259, -0.0156697
1283268, -0.0155026
1283278, -0.0156035
1283288, -0.0154571
1283298, -0.0156645
1283308, -0.0153498
1283318, -0.0154058
1283329, -0.0153927
1283340, -0.0155177
1283352, -0.0152088
1283365, -0.0154063
1283379, -0.0152559
1283392, -0.0155585
1283408, -0.0153501
1283424, -0.0154825
1283440, -0.0152979
1283456, -0.0154948
1283473, -0.0153297
1283491, -0.0156211
1283510, -0.0154225
1283529, -0.0156301
1283549, -0.0154495
1283569, -0.0155678
1283589, -0.0154673
1283610, -0.015695
1283632, -0.015466
1283653, -0.0153763
1283675, -0.0151731
1283700, -0.0153739
1283723, -0.0151975
1283746, -0.015381
1283769, -0.0153333
1283793, -0.0156199
1283818, -0.0152887
1283843, -0.0154547
1283869, -0.0153966
1283895, -0.0157035
1283919, -0.0155522
1283943, -0.0156313
1283969, -0.0154453
1283989, -0.0155771
1284008, -0.015358
1284028, -0.0154698
1284046, -0.0152803
1284064, -0.0154512
1284081, -0.0153114
1284099, -0.0152339
1284116, -0.0152314
1284131, -0.0154054
1284145, -0.0154572
1284159, -0.0156018
1284172, -0.0153666
1284185, -0.0156761
1284198, -0.0155173
1284209, -0.0156202
1284219, -0.0153193
1284230, -0.0155293
1284241, -0.0153405
1284253, -0.0155176
1284266, -0.0152877
1284278, -0.0155229
1284293, -0.0152716
1284307, -0.0153377
1284323, -0.015178
1284336, -0.0154556
1284351, -0.0153481
1284365, -0.0155072
1284379, -0.0153684
1284392, -0.0154711
1284407, -0.01541
1284420, -0.0154954
1284433, -0.0154185
1284445, -0.0157447
1284457, -0.0155916
1284467, -0.0156212
1284478, -0.015368
1284489, -0.0154115
1284499, -0.0152784
1284510, -0.0154297
1284521, -0.0151795
1284532, -0.0153393
1284542, -0.0152396
1284553, -0.015278
1284564, -0.0152944
1284574, -0.0155311
1284585, -0.0155584
1284596, -0.0155839
1284607, -0.0154111
1284618, -0.0155232
1284629, -0.0153943
1284640, -0.0155099
1284652, -0.0154036
1284663, -0.0154233
1284675, -0.0153355
1284688, -0.0154565
1284700, -0.0153289
1284712, -0.0154879
1284724, -0.0153759
1284736, -0.015512
1284748, -0.0153602
1284761, -0.0155032
1284773, -0.0152963
1284786, -0.0153785
1284799, -0.0153396
1284811, -0.0154992
1284826, -0.0153146
1284838, -0.0154368
1284850, -0.0153609
1284862, -0.0155205
1284875, -0.0155519
1284887, -0.0155694
1284900, -0.0154332
1284913, -0.0154392
1284925, -0.0154118
1284937, -0.0154558
1284949, -0.0152947
1284961, -0.0155213
1284975, -0.0154002
1284987, -0.0154143
1285000, -0.0153081
1285012, -0.015435
1285025, -0.0153261
1285037, -0.0153962
1285050, -0.0151374
1285063, -0.0154599
1285075, -0.015431
1285089, -0.0155955
1285100, -0.0154471
1285112, -0.0154787
1285123, -0.0153414
1285135, -0.0154092
1285147, -0.0154019
1285159, -0.015444
1285170, -0.0155211
1285182, -0.0155381
1285193, -0.0152692
1285205, -0.0152883
1285216, -0.0151648
1285228, -0.015476
1285239, -0.015313
1285254, -0.0152669
1285268, -0.0152324
1285281, -0.0154204
1285295, -0.0152615
1285305, -0.0155124
1285316, -0.0155302
1285327, -0.0157799
1285337, -0.0154977
1285346, -0.0155254
1285356, -0.0153342
1285365, -0.0154769
1285375, -0.0154306
1285384, -0.0153994
1285394, -0.0152311
1285403, -0.0153003
1285412, -0.0152075
1285422, -0.0152948
1285432, -0.0153654
1285441, -0.0154806
1285451, -0.0152536
1285461, -0.0152906
1285470, -0.0153459
1285480, -0.0156897
1285490, -0.015416
1285500, -0.0155661
1285510, -0.0153649
1285520, -0.0155418
1285531, -0.0153873
1285541, -0.0155275
1285551, -0.0152429
1285561, -0.0153625
