Время (мс),Сигнал (В) 
1247469, -0.0327606
1247479, -0.0314817
1247489, -0.0328194
1247499, -0.0315504
1247509, -0.0327958
1247519, -0.0315483
1247529, -0.0327228
1247539, -0.0316207
1247549, -0.032752
1247559, -0.0315921
1247569, -0.0328088
1247579, -0.0315458
1247589, -0.032779
1247599, -0.0315472
1247609, -0.0328504
1247619, -0.0315941
1247629, -0.0327768
1247642, -0.0314708
1247659, -0.0327858
1247677, -0.0315407
1247696, -0.0327382
1247724, -0.0315289
1247745, -0.0328479
1247767, -0.031521
1247790, -0.0327044
1247815, -0.0315189
1247840, -0.0328677
1247866, -0.03155
1247893, -0.0327268
1247920, -0.0314979
1247948, -0.0327391
1247988, -0.0314613
1248036, -0.03277
1248087, -0.0315796
1248145, -0.0328266
1248203, -0.0315871
1248267, -0.0328028
1248341, -0.0315477
1248413, -0.0327874
1248485, -0.031548
1248556, -0.0328191
1248614, -0.0315538
1248644, -0.0328209
1248671, -0.0315806
1248698, -0.0328012
1248725, -0.0315323
1248751, -0.032838
1248778, -0.0315451
1248804, -0.0327739
1248831, -0.03154
1248858, -0.0327061
1248884, -0.0315931
1248911, -0.0328303
1248939, -0.0315624
1248967, -0.0327486
1248995, -0.0314814
1249023, -0.0327552
1249051, -0.0316032
1249080, -0.0328216
1249109, -0.0314584
1249138, -0.0326639
1249168, -0.0315584
1249197, -0.0327353
1249227, -0.0314884
1249258, -0.0327582
1249306, -0.0314976
1249354, -0.0326547
1249402, -0.0314791
1249456, -0.0326213
1249509, -0.0315522
1249563, -0.0326673
1249615, -0.0315339
1249667, -0.0327332
1249720, -0.0315404
1249764, -0.0326803
1249791, -0.0315168
1249819, -0.0327604
1249848, -0.0315515
1249876, -0.0326903
1249906, -0.0314079
1249934, -0.0327053
1249961, -0.0314884
1249989, -0.0326854
1250016, -0.0315506
1250045, -0.0326406
1250074, -0.0315837
1250101, -0.0326821
1250128, -0.0314676
1250157, -0.0327612
1250186, -0.0315329
1250216, -0.0327423
1250245, -0.0314996
1250275, -0.0326112
1250304, -0.0315243
1250350, -0.0326344
1250396, -0.0314941
1250441, -0.0326177
1250488, -0.0314793
1250532, -0.0326727
1250578, -0.0314192
1250621, -0.032705
1250667, -0.0315304
1250729, -0.0326882
1250776, -0.0315459
1250824, -0.0326567
1250853, -0.0315474
1250881, -0.0327457
1250909, -0.0315734
1250939, -0.0326789
1250967, -0.0315599
1250996, -0.032695
1251025, -0.0315267
1251054, -0.0327432
1251082, -0.031619
1251113, -0.0326624
1251142, -0.0314616
1251170, -0.0327342
1251201, -0.0315836
1251230, -0.0326623
1251259, -0.0315241
1251288, -0.0326872
1251317, -0.0315533
1251347, -0.0326685
1251392, -0.0316303
1251436, -0.0327311
1251480, -0.0316031
1251525, -0.0326314
1251570, -0.0315247
1251616, -0.0325742
1251660, -0.0315144
1251705, -0.0326054
1251750, -0.0315797
1251796, -0.0325856
1251839, -0.0315273
1251884, -0.0326191
1251912, -0.0315282
1251942, -0.0326395
1251972, -0.031664
1252001, -0.0326467
1252030, -0.0315065
1252059, -0.0326005
1252088, -0.0315526
1252117, -0.0325971
1252146, -0.0314844
1252175, -0.032629
1252203, -0.0315047
