Время (мс),Сигнал (В) 
934532, -0.028221
934542, -0.0287073
934552, -0.0282662
934562, -0.0283652
934572, -0.0279924
934582, -0.0285947
934592, -0.0283168
934602, -0.0287514
934612, -0.0281631
934622, -0.0285287
934632, -0.0281376
934642, -0.028639
934652, -0.0283824
934662, -0.0286821
934672, -0.0280951
934682, -0.0284226
934692, -0.0280416
934702, -0.0286644
934712, -0.0283484
934722, -0.028788
934732, -0.0282975
934742, -0.0284973
934752, -0.0281222
934768, -0.0284195
934776, -0.028073
934785, -0.0287592
934794, -0.0282825
934803, -0.0286082
934813, -0.0279794
934824, -0.0284704
934835, -0.0283396
934846, -0.0290058
934858, -0.0283505
934867, -0.0285092
934876, -0.0278391
934889, -0.028456
934898, -0.0282128
934908, -0.0287372
934918, -0.0281907
934928, -0.0286762
934943, -0.0281499
934956, -0.028562
934968, -0.0281282
934981, -0.0286039
934994, -0.0282068
935008, -0.0288192
935024, -0.0281597
935039, -0.0286392
935055, -0.0281512
935072, -0.0286507
935090, -0.02827
935109, -0.0286524
935127, -0.0280103
935146, -0.0285946
935166, -0.0280053
935186, -0.0287535
935209, -0.0283505
935231, -0.0286214
935253, -0.0280207
935276, -0.0285778
935300, -0.0282271
935324, -0.0288037
935348, -0.0282954
935375, -0.0285714
935404, -0.0279148
935435, -0.0286057
935468, -0.0281511
935502, -0.0289004
935538, -0.0281633
935575, -0.0287235
935610, -0.0280633
935643, -0.0284547
935674, -0.0281342
935702, -0.0287383
935728, -0.0282524
935754, -0.0287855
935780, -0.0280171
935805, -0.0284864
935831, -0.0280696
935857, -0.0287982
935881, -0.028322
935909, -0.0288985
935942, -0.0281995
935972, -0.0287375
936001, -0.0279818
936030, -0.028655
936058, -0.0281525
936086, -0.0287933
936113, -0.028112
936141, -0.0286484
936170, -0.0280413
936196, -0.0286228
936224, -0.0281139
936250, -0.0286689
936277, -0.0281018
936303, -0.0287878
936333, -0.0281841
936361, -0.0288241
936389, -0.0281285
936419, -0.0286151
936448, -0.0279995
936481, -0.0286877
936517, -0.0281609
936552, -0.0287765
936586, -0.0280886
936618, -0.0286292
936651, -0.0280899
936683, -0.0287133
936719, -0.0281853
936753, -0.0287422
936787, -0.0281614
936820, -0.0286688
936852, -0.0279457
936886, -0.0285224
936915, -0.0281198
936945, -0.0289068
936979, -0.0282738
937010, -0.0290074
937040, -0.028125
937064, -0.0285844
937088, -0.0278861
937115, -0.0287562
937137, -0.0282468
937162, -0.0287465
937188, -0.027934
937213, -0.0285468
937237, -0.0278686
937261, -0.0287029
937284, -0.0282144
937307, -0.0288561
937331, -0.0282154
937356, -0.0287273
937380, -0.0281617
937406, -0.0287217
937429, -0.0281135
937453, -0.0288493
937480, -0.0281229
937506, -0.0287051
937531, -0.0279199
937557, -0.0286584
937586, -0.0280543
937612, -0.028888
937640, -0.0281499
937667, -0.0287343
937696, -0.0280544
937724, -0.0287303
937752, -0.0280829
937782, -0.0288009
937811, -0.0280355
937842, -0.0287098
937873, -0.0281666
937905, -0.0289175
937936, -0.028136
937968, -0.0288175
938000, -0.0279087
938033, -0.028792
938066, -0.0281112
938104, -0.028703
938142, -0.0280391
938178, -0.0286941
938216, -0.027889
938253, -0.0286775
938291, -0.0280615
938325, -0.0288661
938360, -0.02829
938393, -0.0289761
938427, -0.0280906
938459, -0.0287316
938489, -0.0280282
938518, -0.0289558
938549, -0.028299
938579, -0.0289161
938608, -0.0280072
938637, -0.0286321
938665, -0.0279778
938694, -0.0287647
938721, -0.0280971
938749, -0.0287262
938778, -0.0280524
938806, -0.0286811
938834, -0.0279224
938861, -0.0287899
938889, -0.02814
938918, -0.0288805
938946, -0.0281029
938974, -0.0287802
939002, -0.028202
939029, -0.0288463
939059, -0.0280997
939089, -0.0287097
939117, -0.0279997
939147, -0.0286751
939176, -0.0281519
939207, -0.0288527
939238, -0.0280044
939272, -0.028834
939307, -0.0280429
939340, -0.0288062
939374, -0.0280802
939409, -0.0288817
939444, -0.0280507
939480, -0.0288139
939515, -0.0280257
939552, -0.0288616
939589, -0.0280529
939627, -0.0289387
939667, -0.0281258
939703, -0.028761
939739, -0.0279339
939778, -0.0285545
939814, -0.0279687
939849, -0.028988
939885, -0.028141
939918, -0.0288465
939952, -0.0280545
939981, -0.0289249
940012, -0.028169
940043, -0.0288174
940074, -0.0281655
