Время (мс),Сигнал (В) 
874563, -0.029995
874573, -0.0305431
874583, -0.0299466
874593, -0.0304537
874603, -0.0300588
874613, -0.030528
874623, -0.0300828
874633, -0.030618
874643, -0.0302498
874653, -0.0308971
874663, -0.0303649
874673, -0.0307317
874683, -0.0301884
874693, -0.0305634
874703, -0.030116
874713, -0.0305005
874723, -0.0299606
874733, -0.0304643
874743, -0.0299629
874753, -0.030567
874763, -0.0300047
874773, -0.0307365
874783, -0.0301632
874793, -0.0306064
874803, -0.030235
874813, -0.0307173
874823, -0.0302307
874833, -0.0307989
874843, -0.0302122
874853, -0.0307506
874864, -0.0300848
874876, -0.0305828
874888, -0.0299763
874903, -0.0303836
874919, -0.0299642
874935, -0.0304219
874952, -0.0299486
874971, -0.0305423
874989, -0.0301125
875008, -0.0307381
875031, -0.0301135
875055, -0.03078
875079, -0.0303169
875106, -0.0308117
875133, -0.030119
875163, -0.0307123
875192, -0.0300658
875223, -0.0305311
875255, -0.030116
875287, -0.0306337
875320, -0.0301616
875354, -0.0305636
875388, -0.0299199
875424, -0.0304981
875459, -0.0301307
875494, -0.0305978
875531, -0.0300406
875567, -0.030651
875605, -0.0301762
875641, -0.0306998
875676, -0.030131
875710, -0.0307413
875749, -0.0303585
875785, -0.0308939
875818, -0.0301403
875846, -0.0304185
875870, -0.0297933
875894, -0.0303649
875913, -0.0299573
875931, -0.0304526
875949, -0.0301549
875968, -0.0305737
875986, -0.0300965
876004, -0.0307909
876022, -0.0301666
876040, -0.0307234
876061, -0.0303097
876080, -0.0307352
876097, -0.0300989
876116, -0.0305401
876136, -0.0300031
876155, -0.0305422
876175, -0.0300614
876194, -0.0306202
876214, -0.0299486
876236, -0.0304691
876257, -0.0298296
876277, -0.0305403
876299, -0.030087
876321, -0.0307047
876342, -0.0302359
876364, -0.0307148
876386, -0.0301078
876409, -0.0306126
876432, -0.0301373
876455, -0.0307168
876478, -0.0302813
876502, -0.0307997
876525, -0.0300629
876550, -0.030523
876575, -0.0299364
876599, -0.0304608
876626, -0.0299406
876650, -0.0304571
876676, -0.0300142
876701, -0.0306694
876726, -0.0301477
876750, -0.0306487
876776, -0.0301496
876801, -0.0307424
876826, -0.0302888
876855, -0.0307205
876887, -0.0302886
876917, -0.0307169
876948, -0.0300944
876980, -0.0305495
877011, -0.0300216
877040, -0.0305818
877070, -0.0299958
877102, -0.0305017
877132, -0.029915
877161, -0.0304424
877191, -0.0299334
877218, -0.0307407
877246, -0.0303305
877273, -0.030776
877299, -0.0303268
877329, -0.030821
877355, -0.0301354
877383, -0.0307257
877412, -0.0301952
877437, -0.0307014
877462, -0.0300761
877488, -0.030519
877514, -0.0298498
877542, -0.0304375
877566, -0.0300904
877589, -0.0307448
877612, -0.0301397
877636, -0.0306423
877659, -0.0300811
877683, -0.0305383
