Время (мс),Сигнал (В) 
627063, -0.0154405
627073, -0.0167049
627083, -0.0155453
627093, -0.0168366
627103, -0.0155591
627112, -0.0167682
627122, -0.0154438
627132, -0.0166738
627142, -0.0154292
627152, -0.0166692
627162, -0.0154534
627172, -0.0166738
627182, -0.0153719
627192, -0.0166524
627202, -0.0155089
627212, -0.0168435
627224, -0.0155114
627241, -0.0168086
627255, -0.0154835
627272, -0.0165987
627289, -0.0154581
627308, -0.0167251
627327, -0.0155302
627346, -0.0166907
627366, -0.0154205
627387, -0.0166405
627411, -0.0155153
627432, -0.0167862
627455, -0.0155083
627481, -0.0167206
627505, -0.015471
627539, -0.0166312
627582, -0.0154223
627627, -0.0166867
627676, -0.0155122
627727, -0.0167124
627780, -0.0154621
627840, -0.0167117
627904, -0.0155261
627969, -0.0168096
628041, -0.015553
628111, -0.0166949
628175, -0.0154176
628224, -0.0166618
628251, -0.0154278
628278, -0.0167391
628304, -0.0154932
628331, -0.0167023
628356, -0.0153967
628383, -0.0165845
628410, -0.0154424
628435, -0.016805
628460, -0.0156051
628484, -0.0166666
628508, -0.0153944
628532, -0.0166844
628558, -0.0154529
628583, -0.0168084
628609, -0.0155825
628636, -0.0166844
628661, -0.0153985
628688, -0.0166253
628715, -0.0154017
628744, -0.0166735
628774, -0.015503
628817, -0.0167702
628861, -0.0154691
628904, -0.0167038
628954, -0.0154753
629007, -0.0166625
629057, -0.0155314
629108, -0.0166861
629161, -0.015444
629213, -0.0165873
629266, -0.0153953
629317, -0.0167316
629360, -0.0155513
629388, -0.0167939
629415, -0.0155074
629443, -0.016664
629470, -0.0154875
629500, -0.0167366
629529, -0.0154137
629559, -0.0166217
629588, -0.0154143
629614, -0.0166509
629641, -0.0154756
629668, -0.0167858
629695, -0.0155007
629721, -0.0167953
629750, -0.0154559
629777, -0.0166829
629808, -0.0154121
629838, -0.0167178
629870, -0.0154354
629898, -0.0167615
629944, -0.0154706
629989, -0.0167457
630034, -0.0153999
630078, -0.0167788
630123, -0.0155736
630170, -0.0167378
630215, -0.0154924
630259, -0.0166769
630312, -0.0154212
630374, -0.0167719
630421, -0.0155304
630451, -0.0167576
630480, -0.0154701
630510, -0.0166522
630540, -0.0154523
630570, -0.0167249
630601, -0.0155188
630631, -0.0167174
630660, -0.0154649
630691, -0.0166699
630720, -0.0154566
630751, -0.0167682
630779, -0.0155319
630809, -0.0168262
630837, -0.015508
630867, -0.0167118
630897, -0.0153629
630928, -0.0166217
630956, -0.0154738
630984, -0.0167309
631028, -0.0154812
631073, -0.0166855
631115, -0.0154717
631161, -0.0167359
631206, -0.0154941
631250, -0.0166916
631296, -0.0154738
631341, -0.0166308
631383, -0.0153989
631426, -0.0167465
631469, -0.0154883
631511, -0.016754
631538, -0.0154588
631586, -0.0168303
631614, -0.0154785
631642, -0.0167688
631669, -0.015425
631699, -0.016693
631728, -0.0154212
631755, -0.0165736
631783, -0.0154201
631810, -0.0166746
631837, -0.0154911
631880, -0.0167574
631909, -0.0155055
631938, -0.0167914
631966, -0.0155253
631994, -0.0167096
632023, -0.0154754
632068, -0.0166828
632111, -0.0154152
632159, -0.0166745
632202, -0.0153975
632247, -0.0166377
632293, -0.0154936
632341, -0.0167595
632386, -0.0155025
632414, -0.0166861
632457, -0.0154821
632502, -0.0166609
632545, -0.0154716
632573, -0.016765
632617, -0.0154243
632645, -0.0166513
632674, -0.0154625
632702, -0.0167666
632731, -0.0155064
632759, -0.0167328
632791, -0.0154931
632821, -0.0167029
632850, -0.015482
632878, -0.016626
632925, -0.0154605
632954, -0.0167374
632983, -0.0154913
633012, -0.0167869
633042, -0.015419
633071, -0.0166137
633100, -0.0154733
633144, -0.0167892
633189, -0.0154613
633237, -0.0166851
633288, -0.0155157
633335, -0.0167553
633384, -0.0154714
633433, -0.0167303
633463, -0.0154697
633493, -0.0166902
633542, -0.0154417
633587, -0.0166764
633617, -0.0153897
633663, -0.0167715
633692, -0.0154599
633722, -0.0167413
633751, -0.0154341
633781, -0.0167064
633811, -0.015483
633843, -0.0166955
633873, -0.0154516
633902, -0.0167265
633934, -0.0154032
633964, -0.0166649
633996, -0.0154027
634025, -0.016592
634057, -0.0154405
634089, -0.0166785
634120, -0.0154833
634149, -0.0167998
634180, -0.0154841
634222, -0.0167126
634264, -0.0154966
634308, -0.0167405
634355, -0.0154623
634404, -0.0166809
634450, -0.0154711
634493, -0.0167281
634540, -0.0154547
634585, -0.0166823
634631, -0.0154374
634659, -0.0166525
634704, -0.0154427
634735, -0.016724
634766, -0.0154469
634798, -0.016623
634829, -0.0153832
634857, -0.0167083
634887, -0.0155016
634916, -0.0167487
634944, -0.0154807
634973, -0.0167678
635001, -0.0154698
635030, -0.0167713
635060, -0.0155077
635089, -0.016675
635136, -0.0154729
635166, -0.0166921
635195, -0.0154126
635224, -0.0166893
635253, -0.0153903
635300, -0.0166266
635348, -0.0154833
635397, -0.0167608
635443, -0.0155503
635489, -0.0167286
635534, -0.0154731
635581, -0.016763
635628, -0.0155019
635678, -0.0167943
635708, -0.0154662
635737, -0.0166875
635766, -0.0154233
635813, -0.0166726
635842, -0.015401
635874, -0.0166123
635903, -0.0153762
635932, -0.0166884
635961, -0.0154447
635992, -0.0167058
636021, -0.0155209
636050, -0.0167481
636081, -0.0154744
636111, -0.0167836
636143, -0.0155845
636172, -0.0166846
636202, -0.0154562
636233, -0.0166889
636262, -0.01548
636291, -0.0167271
636338, -0.0154738
636384, -0.0166939
636428, -0.0155135
636472, -0.016667
636516, -0.0154067
636557, -0.016605
636603, -0.0154125
636648, -0.0167029
636690, -0.0155039
636732, -0.0167106
636778, -0.0154408
636805, -0.0167237
636852, -0.0155123
636881, -0.0167614
636910, -0.0155583
636939, -0.0166708
636968, -0.0154361
637000, -0.0166801
637029, -0.0154772
637058, -0.0166713
637088, -0.0154349
637118, -0.0166283
637146, -0.0155215
637175, -0.0168068
637204, -0.0154631
637232, -0.0167035
637279, -0.0154236
637308, -0.0166963
637336, -0.0154844
637380, -0.0166917
637425, -0.0154262
637473, -0.016692
637502, -0.015548
637547, -0.0166546
637595, -0.0154857
637641, -0.0167454
637688, -0.0154848
637737, -0.0167476
637765, -0.0154095
637811, -0.0167008
637841, -0.0154462
637889, -0.0166578
637917, -0.0155686
637946, -0.0167309
637975, -0.0154493
638004, -0.0166678
638031, -0.0154111
638059, -0.0166477
638089, -0.0155409
638117, -0.0167499
638160, -0.0154854
638188, -0.0166635
638216, -0.015488
638246, -0.0167413
638277, -0.0155517
638324, -0.0167615
638355, -0.015519
638384, -0.016698
638413, -0.0154389
638462, -0.0166259
638508, -0.0154473
638539, -0.0167443
638588, -0.0154884
638634, -0.0166604
638681, -0.0154211
638728, -0.0166394
638775, -0.0154611
638804, -0.0167623
638850, -0.0154611
638879, -0.0167235
638928, -0.0154698
638959, -0.0166624
638990, -0.0155477
639019, -0.0167521
