Время (мс),Сигнал (В) 
1216265, -0.012201
1216275, -0.0110245
1216285, -0.0120505
1216295, -0.0110166
1216305, -0.0121802
1216315, -0.0111588
1216325, -0.0122253
1216335, -0.0111277
1216345, -0.0120982
1216355, -0.0111296
1216365, -0.0120944
1216375, -0.0111441
1216385, -0.0121732
1216395, -0.0110797
1216405, -0.0121123
1216415, -0.011061
1216425, -0.0121123
1216435, -0.0111068
1216446, -0.0120854
1216459, -0.0110253
1216475, -0.0121538
1216493, -0.0111156
1216512, -0.0121722
1216531, -0.0111319
1216551, -0.0121104
1216571, -0.0111265
1216593, -0.0121084
1216617, -0.0110427
1216640, -0.012157
1216663, -0.0110304
1216688, -0.0121239
1216714, -0.011016
1216747, -0.0119848
1216784, -0.0109866
1216826, -0.0122244
1216874, -0.0112626
1216923, -0.0122902
1216974, -0.0110596
1217026, -0.0120463
1217077, -0.0110445
1217133, -0.0121694
1217190, -0.0110782
1217250, -0.0120562
1217316, -0.0109617
1217371, -0.012021
1217414, -0.0110053
1217450, -0.0121612
1217472, -0.0111315
1217494, -0.0121933
1217515, -0.0110746
1217538, -0.0121755
1217559, -0.0110851
1217580, -0.0121363
1217602, -0.011067
1217623, -0.012091
1217647, -0.0115656
1217667, -0.0119474
1217687, -0.0109584
1217708, -0.0120547
1217731, -0.0110745
1217751, -0.0121403
1217779, -0.0111362
1217802, -0.0121257
1217825, -0.0111087
1217854, -0.0121395
1217881, -0.0110673
1217909, -0.0122704
1217939, -0.011136
1217970, -0.0120362
1218008, -0.0109415
1218045, -0.0121605
1218082, -0.011219
1218118, -0.012242
1218157, -0.0110279
1218197, -0.0121551
1218237, -0.0109618
1218280, -0.0120678
1218322, -0.0109562
1218363, -0.0120396
1218410, -0.01105
1218455, -0.0120969
1218499, -0.0110482
1218538, -0.0120961
1218578, -0.0111567
1218615, -0.0122592
1218645, -0.0113041
1218674, -0.0122239
1218705, -0.0111398
1218743, -0.0120481
1218765, -0.0109472
1218787, -0.0121503
1218810, -0.0110426
1218832, -0.0120671
1218857, -0.01087
1218880, -0.0120039
1218912, -0.0110597
1218933, -0.0121951
1218965, -0.0110937
1218995, -0.0121264
1219026, -0.0112197
1219056, -0.0122239
1219088, -0.0110983
1219119, -0.0120809
1219149, -0.0111061
1219187, -0.0122617
1219222, -0.0110698
1219256, -0.0120174
1219291, -0.0110847
1219326, -0.0121482
1219360, -0.01118
1219396, -0.0121763
1219430, -0.010988
1219466, -0.0120864
1219503, -0.0109908
1219541, -0.0120698
1219577, -0.0110688
1219613, -0.0122036
1219651, -0.011033
1219687, -0.0120801
1219727, -0.011355
1219763, -0.0122667
1219800, -0.0112012
1219833, -0.0121215
1219863, -0.011141
1219895, -0.0121542
1219929, -0.0110954
1219962, -0.012092
1219999, -0.0110081
1220022, -0.0119729
1220055, -0.010955
1220092, -0.0120126
1220115, -0.0109758
1220147, -0.0122078
1220181, -0.0111974
1220216, -0.0122431
1220250, -0.0111061
1220285, -0.0122158
1220319, -0.0111812
1220352, -0.0122226
1220388, -0.011177
1220422, -0.012175
1220456, -0.0110052
1220490, -0.011978
1220524, -0.0109468
1220557, -0.0120891
1220586, -0.0110928
1220617, -0.0121977
1220649, -0.0109514
1220685, -0.0119867
1220721, -0.0110781
1220755, -0.0121208
1220792, -0.011166
1220831, -0.0122301
1220870, -0.0111424
1220906, -0.0121738
1220940, -0.0110754
1220974, -0.012217
1221008, -0.0110789
1221045, -0.0121666
1221082, -0.0109894
1221119, -0.0121309
1221147, -0.0110594
1221183, -0.0120584
1221208, -0.0108982
1221246, -0.0120346
1221283, -0.0109895
1221319, -0.0121669
1221355, -0.0111254
1221379, -0.0120999
1221417, -0.0111823
1221457, -0.012239
1221480, -0.0112929
1221516, -0.0122996
1221550, -0.011231
1221583, -0.0122279
1221615, -0.0110906
1221647, -0.0120149
1221678, -0.0108127
1221709, -0.0119095
1221736, -0.0108885
1221763, -0.0121322
1221793, -0.0110591
1221821, -0.0121675
1221851, -0.0109976
1221881, -0.0122349
1221912, -0.0112923
1221942, -0.0122645
1221971, -0.0111291
1222003, -0.0121899
1222035, -0.0111818
1222066, -0.0120933
1222097, -0.0111021
1222128, -0.0120151
1222159, -0.01104
