Время (мс),Сигнал (В) 
1264218, -0.0149875
1264228, -0.0140302
1264238, -0.0149345
1264248, -0.0141699
1264258, -0.0150921
1264268, -0.0140736
1264278, -0.0149736
1264288, -0.0141454
1264298, -0.0151235
1264308, -0.014355
1264318, -0.0152237
1264328, -0.0144281
1264338, -0.0152856
1264348, -0.0141743
1264358, -0.0148939
1264368, -0.0139838
1264378, -0.0149717
1264388, -0.0141872
1264398, -0.0150814
1264408, -0.0142702
1264418, -0.0150888
1264428, -0.0140774
1264439, -0.0150775
1264451, -0.0142874
1264463, -0.0151743
1264476, -0.0141122
1264490, -0.0150924
1264505, -0.0141967
1264522, -0.0151296
1264538, -0.0142865
1264555, -0.0152357
1264572, -0.0142452
1264595, -0.0150598
1264622, -0.0140804
1264650, -0.0149783
1264678, -0.0141919
1264708, -0.0150724
1264739, -0.0140587
1264775, -0.0149201
1264809, -0.0142109
1264848, -0.0151958
1264888, -0.0142696
1264929, -0.0152206
1264971, -0.0142943
1265015, -0.0151682
1265059, -0.0142166
1265105, -0.0151187
1265154, -0.0141524
1265210, -0.0151584
1265262, -0.0139996
1265320, -0.0148756
1265364, -0.014069
1265403, -0.0151002
1265437, -0.0142082
1265471, -0.0151345
1265501, -0.0142345
1265520, -0.0151323
1265542, -0.0142189
1265561, -0.0151888
1265583, -0.0143033
1265602, -0.0152122
1265622, -0.0141872
1265644, -0.014957
1265664, -0.0141074
1265691, -0.0150185
1265716, -0.0141046
1265743, -0.0150839
1265764, -0.014185
1265793, -0.0151693
1265824, -0.0141956
1265860, -0.0151241
1265904, -0.0142218
1265947, -0.0152068
1265983, -0.0142247
1266019, -0.0150935
1266051, -0.014112
1266089, -0.0151777
1266124, -0.0142766
1266159, -0.0150733
1266193, -0.0141854
1266232, -0.0152458
1266269, -0.0142164
1266303, -0.0151257
1266343, -0.0141738
1266384, -0.0152027
1266425, -0.014187
1266469, -0.0149482
1266514, -0.0139407
1266559, -0.0150962
1266594, -0.014225
1266626, -0.0152408
1266645, -0.0142158
1266666, -0.0151888
1266687, -0.0141248
1266717, -0.0152194
1266737, -0.0142343
1266770, -0.0151963
1266790, -0.0141468
1266822, -0.0150879
1266853, -0.0139822
1266885, -0.0150388
1266916, -0.0141277
1266949, -0.0151352
1266979, -0.0142459
1267014, -0.0151743
1267048, -0.0141669
1267083, -0.0150326
1267116, -0.0141802
1267151, -0.0151866
1267185, -0.014207
1267220, -0.0151496
1267257, -0.0141307
1267291, -0.0151266
1267330, -0.0141428
1267377, -0.0152062
1267412, -0.0141848
1267448, -0.0151723
1267482, -0.0141898
1267518, -0.0151283
1267557, -0.0141026
1267599, -0.0150526
1267638, -0.0141281
1267687, -0.015057
1267723, -0.014028
1267747, -0.0150504
1267770, -0.0141765
1267806, -0.0151147
1267829, -0.0142511
1267852, -0.0152
1267888, -0.0143114
1267911, -0.0152504
1267949, -0.0142363
1267985, -0.0152612
1268006, -0.0140914
1268044, -0.015006
1268079, -0.0139756
1268115, -0.0149525
1268147, -0.0140141
1268181, -0.0151702
1268213, -0.0141918
1268244, -0.0151561
1268277, -0.0141048
1268310, -0.0151604
1268340, -0.0142802
1268371, -0.0153012
