Время (мс),Сигнал (В) 
1238640, -0.0134154
1238650, -0.0131376
1238660, -0.013254
1238670, -0.0132405
1238680, -0.0133391
1238690, -0.0133378
1238700, -0.0134064
1238710, -0.0132283
1238720, -0.0132491
1238730, -0.013219
1238740, -0.0134685
1238750, -0.0134703
1238760, -0.0134698
1238770, -0.0132827
1238780, -0.013468
1238790, -0.0134247
1238800, -0.0135079
1238810, -0.0132899
1238820, -0.0134341
1238830, -0.0131483
1238840, -0.0132322
1238850, -0.0130339
1238860, -0.0133632
1238870, -0.0133824
1238880, -0.0133785
1238890, -0.013127
1238900, -0.0132572
1238910, -0.0133471
1238920, -0.013477
1238930, -0.0134132
1238940, -0.013515
1238950, -0.0132668
1238960, -0.0133766
1238970, -0.0132322
1238980, -0.0134099
1238990, -0.0133299
1239000, -0.013468
1239010, -0.0131583
1239020, -0.0132105
1239030, -0.0132098
1239040, -0.0134414
1239050, -0.0133471
1239060, -0.0134305
1239070, -0.0131865
1239080, -0.0133439
1239090, -0.0132808
1239100, -0.0134647
1239118, -0.0133113
1239126, -0.0134324
1239135, -0.0132111
1239145, -0.0133223
1239159, -0.0133446
1239169, -0.0134905
1239179, -0.0133039
1239189, -0.0133011
1239198, -0.0132283
1239208, -0.0133799
1239219, -0.013104
1239230, -0.0133958
1239243, -0.0132502
1239255, -0.0134997
1239270, -0.0132433
1239285, -0.013318
1239300, -0.0133138
1239316, -0.013608
1239331, -0.0134465
1239344, -0.0135111
1239356, -0.0132471
1239370, -0.0132922
1239384, -0.0131376
1239398, -0.0133209
1239411, -0.01323
1239426, -0.0133451
1239441, -0.0131591
1239456, -0.0132819
1239472, -0.0132532
1239490, -0.013469
1239505, -0.0133082
1239528, -0.0135028
1239543, -0.013268
1239558, -0.0133938
1239574, -0.013279
1239588, -0.0134308
1239603, -0.0134165
1239619, -0.0135134
1239636, -0.0132368
1239652, -0.0132559
1239667, -0.013128
1239683, -0.0132656
1239698, -0.0132447
1239714, -0.0133227
1239729, -0.013241
1239744, -0.0134067
1239759, -0.0132542
1239774, -0.0134064
1239789, -0.0134067
1239804, -0.0134747
1239818, -0.0133871
1239832, -0.0132918
1239847, -0.0133054
1239861, -0.0134705
1239875, -0.0132621
1239892, -0.0134451
1239908, -0.0131701
1239926, -0.0133789
1239944, -0.0132012
1239961, -0.0133233
1239978, -0.0131966
1239996, -0.0133955
1240013, -0.0132784
1240030, -0.0133163
1240045, -0.0132463
1240060, -0.0134627
1240075, -0.0134531
1240090, -0.0135429
1240104, -0.0133822
1240120, -0.013375
1240136, -0.0132488
1240149, -0.013355
1240162, -0.0132784
1240176, -0.013323
1240189, -0.0131743
1240202, -0.0132892
1240218, -0.0131525
1240231, -0.0135225
1240243, -0.0133898
1240257, -0.013609
1240269, -0.0133841
1240284, -0.0134359
1240295, -0.0132337
1240308, -0.0133441
1240320, -0.0132502
1240333, -0.0135531
1240346, -0.0134339
1240359, -0.01327
1240371, -0.0131173
1240384, -0.0133385
1240397, -0.0133929
1240409, -0.0134359
1240422, -0.0133162
1240435, -0.0133463
1240447, -0.0132174
1240459, -0.0134359
1240471, -0.013305
1240484, -0.0134391
1240498, -0.0133578
1240511, -0.01342
1240523, -0.0132179
1240537, -0.0133608
1240550, -0.0132416
1240563, -0.0134858
1240576, -0.0132832
1240590, -0.0134706
1240603, -0.0132579
1240618, -0.0132785
1240635, -0.0132452
1240650, -0.0134187
1240665, -0.013381
1240680, -0.0134206
1240694, -0.0132321
1240709, -0.013392
1240724, -0.0133876
1240740, -0.0134636
1240756, -0.0132259
1240771, -0.0134247
1240787, -0.0133034
1240802, -0.0133764
1240818, -0.013185
1240834, -0.0133128
1240849, -0.0132757
1240865, -0.0133709
1240880, -0.0131274
1240895, -0.0134217
1240912, -0.0133051
1240927, -0.013356
1240941, -0.0132863
1240956, -0.0133604
1240971, -0.0133031
1240986, -0.0134809
1241000, -0.0133307
1241016, -0.0133847
1241030, -0.0132733
1241045, -0.0133319
1241060, -0.0132647
1241075, -0.0133619
1241089, -0.0133439
1241103, -0.013455
1241117, -0.013265
1241132, -0.0132794
1241147, -0.0131154
1241161, -0.0133312
1241176, -0.0132993
1241190, -0.0133993
1241204, -0.0133791
1241219, -0.0134501
1241235, -0.0132544
1241248, -0.0133422
1241261, -0.0132442
1241275, -0.0135824
1241292, -0.013429
1241307, -0.0133325
1241322, -0.0132215
1241336, -0.0133036
1241350, -0.013187
1241364, -0.0133819
1241379, -0.0132653
1241395, -0.0133888
1241411, -0.0132044
1241425, -0.0133861
1241439, -0.0133366
1241453, -0.0134795
1241468, -0.0133035
1241481, -0.0134852
1241495, -0.0133335
1241509, -0.0134645
1241523, -0.0132055
1241539, -0.0133569
1241553, -0.0131632
1241567, -0.013444
1241582, -0.0131954
1241597, -0.0132795
1241612, -0.0132388
1241627, -0.0134459
1241645, -0.0132651
1241665, -0.0133538
1241683, -0.013288
1241698, -0.0134733
1241718, -0.0133983
