Время (мс),Сигнал (В) 
0, -0.00384264
10, -0.00351321
20, -0.00384365
30, -0.00351672
40, -0.00385727
50, -0.00352207
60, -0.00384329
70, -0.00351006
80, -0.00384561
90, -0.00351345
100, -0.0038568
110, -0.00351583
120, -0.00385263
130, -0.00351351
140, -0.00383752
150, -0.00350345
160, -0.00384758
172, -0.00352707
190, -0.00384472
209, -0.00351149
229, -0.00384912
250, -0.00351779
272, -0.00384157
295, -0.00350357
319, -0.00385174
344, -0.00352195
371, -0.00385597
399, -0.00352314
428, -0.0038568
458, -0.00352511
489, -0.00383622
534, -0.00350786
586, -0.00385513
644, -0.00352535
707, -0.00385204
774, -0.00350786
841, -0.00385507
917, -0.00352112
1003, -0.0038377
1082, -0.00350661
1143, -0.00384484
1173, -0.00352523
1203, -0.00385733
1231, -0.00351184
1258, -0.00384984
1286, -0.00352951
1314, -0.00384139
1341, -0.00351125
1369, -0.00385109
1399, -0.00352118
1427, -0.00384026
1455, -0.00351333
1483, -0.00384972
1511, -0.00352088
1540, -0.00384437
1568, -0.00351035
1597, -0.00384395
1628, -0.00351946
1657, -0.00384306
1687, -0.00351541
1717, -0.00384591
1747, -0.00352606
1780, -0.00383616
1810, -0.00351517
1843, -0.00385359
1874, -0.00351999
1924, -0.00383848
1974, -0.00352291
2032, -0.0038399
2092, -0.00352189
2149, -0.00384282
2208, -0.00351761
2256, -0.00383473
2306, -0.00352118
2339, -0.00385418
2371, -0.003521
2403, -0.00384609
2434, -0.00352659
2465, -0.00383604
2496, -0.00351904
2529, -0.0038568
2563, -0.00352326
2593, -0.00384371
2624, -0.00351547
2655, -0.00385186
2686, -0.00352921
2717, -0.00383098
2748, -0.00351726
2781, -0.0038427
2814, -0.00351505
2844, -0.00384912
2875, -0.00352612
2907, -0.00385323
2938, -0.00352588
2969, -0.0038424
3002, -0.00352618
3035, -0.00385049
3067, -0.00352368
3117, -0.00384752
3164, -0.00352523
3212, -0.00384746
3259, -0.00352731
3306, -0.00382688
3365, -0.00352231
3415, -0.00383651
3447, -0.00351601
3481, -0.00385638
3513, -0.0035279
3545, -0.00384086
3577, -0.00352832
3608, -0.00383556
3640, -0.00351874
3671, -0.00384573
3703, -0.00351922
3735, -0.00383229
3766, -0.00352487
3798, -0.00384389
3830, -0.00352695
3863, -0.0038355
3896, -0.00352398
3928, -0.00383509
3959, -0.0035257
3990, -0.00384657
4021, -0.00352368
4053, -0.00384484
4093, -0.00351999
4125, -0.00384175
4158, -0.00352421
4209, -0.00383937
4258, -0.00353028
4308, -0.00384377
4339, -0.00352737
4390, -0.00384817
4441, -0.00351797
4493, -0.00383657
4524, -0.00352755
4557, -0.00383806
4590, -0.00351714
4624, -0.00385002
4657, -0.00352023
4690, -0.0038474
4724, -0.00353391
4758, -0.00382961
4791, -0.00353183
4824, -0.00383568
4857, -0.00352338
4890, -0.00383711
4925, -0.00352999
4957, -0.00384312
4991, -0.00354028
5022, -0.00383794
5054, -0.00354176
5085, -0.00383871
5117, -0.00353338
5149, -0.00384086
5182, -0.00352868
5213, -0.00384092
5245, -0.00353427
5297, -0.00383164
5345, -0.00352469
5376, -0.00384038
5423, -0.0035401
5472, -0.00383473
5520, -0.00353867
5568, -0.00383883
5599, -0.00353772
5630, -0.0038242
5660, -0.00353552
5691, -0.00382729
5723, -0.00353219
5773, -0.00384704
5805, -0.00353694
5838, -0.00384288
5870, -0.00353094
5902, -0.00382813
5936, -0.00353433
5967, -0.00384544
5999, -0.00354034
6032, -0.00383413
6066, -0.00353349
6097, -0.0038405
6129, -0.00354135
6160, -0.00383532
6192, -0.00353808
6226, -0.00383497
6260, -0.00354034
6291, -0.0038405
6340, -0.00353451
6388, -0.00383717
6421, -0.00354515
6474, -0.00381974
6506, -0.0035323
6555, -0.00383277
6601, -0.00353213
6633, -0.00383199
6666, -0.00353522
6700, -0.00383711
6733, -0.00354599
6765, -0.00381522
6814, -0.00354313
