           x            y        Depth Vol.P.Density
          mm           mm           mm        W/mm^3
-5.10000e-01 -2.10000e-01  0.00000e+00     0.000e+00
-4.08000e-01 -2.10000e-01  0.00000e+00     0.000e+00
-3.06000e-01 -2.10000e-01  0.00000e+00     0.000e+00
-2.04000e-01 -2.10000e-01  0.00000e+00     0.000e+00
-1.02000e-01 -2.10000e-01  0.00000e+00     0.000e+00
 0.00000e+00 -2.10000e-01  0.00000e+00     0.000e+00
 1.02000e-01 -2.10000e-01  0.00000e+00     0.000e+00
 2.04000e-01 -2.10000e-01  0.00000e+00     0.000e+00
 3.06000e-01 -2.10000e-01  0.00000e+00     0.000e+00
 4.08000e-01 -2.10000e-01  0.00000e+00     0.000e+00
 5.10000e-01 -2.10000e-01  0.00000e+00     0.000e+00
-5.10000e-01 -1.68000e-01  0.00000e+00     0.000e+00
-4.08000e-01 -1.68000e-01  0.00000e+00     2.353e-02
-3.06000e-01 -1.68000e-01  0.00000e+00     2.353e-02
-2.04000e-01 -1.68000e-01  0.00000e+00     2.353e-02
-1.02000e-01 -1.68000e-01  0.00000e+00     2.353e-02
 0.00000e+00 -1.68000e-01  0.00000e+00     2.353e-02
 1.02000e-01 -1.68000e-01  0.00000e+00     2.353e-02
 2.04000e-01 -1.68000e-01  0.00000e+00     2.353e-02
 3.06000e-01 -1.68000e-01  0.00000e+00     2.353e-02
 4.08000e-01 -1.68000e-01  0.00000e+00     2.353e-02
 5.10000e-01 -1.68000e-01  0.00000e+00     0.000e+00
-5.10000e-01 -1.26000e-01  0.00000e+00     0.000e+00
-4.08000e-01 -1.26000e-01  0.00000e+00     2.358e-02
-3.06000e-01 -1.26000e-01  0.00000e+00     2.358e-02
-2.04000e-01 -1.26000e-01  0.00000e+00     2.358e-02
-1.02000e-01 -1.26000e-01  0.00000e+00     2.358e-02
 0.00000e+00 -1.26000e-01  0.00000e+00     2.358e-02
 1.02000e-01 -1.26000e-01  0.00000e+00     2.358e-02
 2.04000e-01 -1.26000e-01  0.00000e+00     2.358e-02
 3.06000e-01 -1.26000e-01  0.00000e+00     2.358e-02
 4.08000e-01 -1.26000e-01  0.00000e+00     2.358e-02
 5.10000e-01 -1.26000e-01  0.00000e+00     0.000e+00
-5.10000e-01 -8.40000e-02  0.00000e+00     0.000e+00
-4.08000e-01 -8.40000e-02  0.00000e+00     2.361e-02
-3.06000e-01 -8.40000e-02  0.00000e+00     2.361e-02
-2.04000e-01 -8.40000e-02  0.00000e+00     2.361e-02
-1.02000e-01 -8.40000e-02  0.00000e+00     2.361e-02
 0.00000e+00 -8.40000e-02  0.00000e+00     2.361e-02
 1.02000e-01 -8.40000e-02  0.00000e+00     2.361e-02
 2.04000e-01 -8.40000e-02  0.00000e+00     2.361e-02
 3.06000e-01 -8.40000e-02  0.00000e+00     2.361e-02
 4.08000e-01 -8.40000e-02  0.00000e+00     2.361e-02
 5.10000e-01 -8.40000e-02  0.00000e+00     0.000e+00
-5.10000e-01 -4.20000e-02  0.00000e+00     0.000e+00
-4.08000e-01 -4.20000e-02  0.00000e+00     2.363e-02
-3.06000e-01 -4.20000e-02  0.00000e+00     2.363e-02
-2.04000e-01 -4.20000e-02  0.00000e+00     2.363e-02
-1.02000e-01 -4.20000e-02  0.00000e+00     2.363e-02
 0.00000e+00 -4.20000e-02  0.00000e+00     2.363e-02
