"Energy (eV)"	"Filtered"
1.00000e+2	0.00000e+0
1.49900e+2	0.00000e+0
1.99800e+2	0.00000e+0
2.49700e+2	0.00000e+0
2.99600e+2	0.00000e+0
3.49500e+2	0.00000e+0
3.99400e+2	0.00000e+0
4.49300e+2	0.00000e+0
4.99200e+2	0.00000e+0
5.49100e+2	0.00000e+0
5.99000e+2	0.00000e+0
6.48900e+2	0.00000e+0
6.98800e+2	0.00000e+0
7.48700e+2	0.00000e+0
7.98600e+2	0.00000e+0
8.48500e+2	0.00000e+0
8.98400e+2	0.00000e+0
9.48300e+2	1.66549e-34
9.98200e+2	8.06235e-29
1.04810e+3	4.31812e-24
1.09800e+3	3.97368e-20
1.14790e+3	8.81910e-17
1.19780e+3	6.14698e-14
1.24770e+3	1.65608e-11
1.29760e+3	2.03346e-9
1.34750e+3	1.29831e-7
1.39740e+3	4.79387e-6
1.44730e+3	1.11599e-4
1.49720e+3	1.75779e-3
1.54710e+3	1.98541e-2
1.59700e+3	1.68734e-1
1.64690e+3	1.12311e+0
1.69680e+3	6.05426e+0
1.74670e+3	2.71871e+1
1.79660e+3	1.04153e+2
1.84650e+3	3.47348e+2
1.89640e+3	1.02594e+3
1.94630e+3	2.72364e+3
1.99620e+3	6.58177e+3
2.04610e+3	1.46366e+4
2.09600e+3	3.02371e+4
2.14590e+3	5.85063e+4
2.19580e+3	1.06788e+5
2.24570e+3	1.85013e+5
2.29560e+3	3.05923e+5
2.34550e+3	4.85097e+5
2.39540e+3	7.40768e+5
2.44530e+3	1.09342e+6
2.49520e+3	1.56522e+6
2.54510e+3	2.17926e+6
2.59500e+3	2.95881e+6
2.64490e+3	3.92646e+6
2.69480e+3	5.10339e+6
2.74470e+3	6.50862e+6
2.79460e+3	8.15847e+6
2.84450e+3	1.00662e+7
2.89440e+3	1.22414e+7
2.94430e+3	1.46905e+7
2.99420e+3	1.74159e+7
3.04410e+3	2.04169e+7
3.09400e+3	2.36893e+7
3.14390e+3	2.72259e+7
3.19380e+3	3.10169e+7
3.24370e+3	3.50500e+7
3.29360e+3	3.93111e+7
3.34350e+3	4.37844e+7
3.39340e+3	4.84530e+7
3.44330e+3	5.32989e+7
3.49320e+3	5.83038e+7
3.54310e+3	6.34489e+7
3.59300e+3	6.87153e+7
3.64290e+3	7.40847e+7
3.69280e+3	7.95386e+7
3.74270e+3	8.50596e+7
3.79260e+3	9.06305e+7
3.84250e+3	9.62352e+7
3.89240e+3	1.01858e+8
3.94230e+3	1.07485e+8
3.99220e+3	1.13103e+8
4.04210e+3	1.18698e+8
4.09200e+3	1.24259e+8
4.14190e+3	1.29775e+8
4.19180e+3	1.35237e+8
4.24170e+3	1.40636e+8
4.29160e+3	1.45963e+8
4.34150e+3	1.51212e+8
4.39140e+3	1.56375e+8
4.44130e+3	1.61448e+8
4.49120e+3	1.66426e+8
4.54110e+3	1.71304e+8
4.59100e+3	1.76078e+8
4.64090e+3	1.80746e+8
4.69080e+3	1.85304e+8
4.74070e+3	1.89752e+8
4.79060e+3	1.94087e+8
4.84050e+3	1.98307e+8
4.89040e+3	2.02414e+8
4.94030e+3	2.06404e+8
4.99020e+3	2.10280e+8
5.04010e+3	2.14040e+8
5.09000e+3	2.17686e+8
5.13990e+3	2.21217e+8
5.18980e+3	2.24635e+8
5.23970e+3	2.27941e+8
5.28960e+3	2.31135e+8
5.33950e+3	2.34220e+8
5.38940e+3	2.37196e+8
5.43930e+3	2.40065e+8
5.48920e+3	2.42829e+8
5.53910e+3	2.45489e+8
5.58900e+3	2.48048e+8
5.63890e+3	2.50506e+8
5.68880e+3	2.52867e+8
5.73870e+3	2.55131e+8
5.78860e+3	2.57301e+8
5.83850e+3	2.59378e+8
5.88840e+3	2.61365e+8
5.93830e+3	2.63264e+8
5.98820e+3	2.65076e+8
6.03810e+3	2.66804e+8
6.08800e+3	2.68449e+8
6.13790e+3	2.70014e+8
6.18780e+3	2.71500e+8
6.23770e+3	2.72909e+8
6.28760e+3	2.74243e+8
6.33750e+3	2.75505e+8
6.38740e+3	2.76695e+8
6.43730e+3	2.77815e+8
6.48720e+3	2.78868e+8
6.53710e+3	2.79856e+8
6.58700e+3	2.80779e+8
6.63690e+3	2.81639e+8
6.68680e+3	2.82439e+8
6.73670e+3	2.83180e+8
6.78660e+3	2.83863e+8
6.83650e+3	2.84490e+8
6.88640e+3	2.85062e+8
6.93630e+3	2.85581e+8
6.98620e+3	2.86049e+8
7.03610e+3	2.86467e+8
7.08600e+3	2.86835e+8
7.13590e+3	2.87157e+8
7.18580e+3	2.87432e+8
7.23570e+3	2.87662e+8
7.28560e+3	2.87849e+8
7.33550e+3	2.87993e+8
7.38540e+3	2.88097e+8
7.43530e+3	2.88160e+8
7.48520e+3	2.88185e+8
7.53510e+3	2.88172e+8
7.58500e+3	2.88122e+8
7.63490e+3	2.88037e+8
7.68480e+3	2.87917e+8
7.73470e+3	2.87763e+8
7.78460e+3	2.87577e+8
7.83450e+3	2.87360e+8
7.88440e+3	2.87112e+8
7.93430e+3	2.86834e+8
7.98420e+3	2.86527e+8
8.03410e+3	2.86192e+8
8.08400e+3	2.85830e+8
8.13390e+3	2.85441e+8
8.18380e+3	2.85027e+8
8.23370e+3	2.84588e+8
8.28360e+3	2.84126e+8
8.33350e+3	2.83639e+8
8.38340e+3	2.83130e+8
8.43330e+3	2.82599e+8
8.48320e+3	2.82047e+8
8.53310e+3	2.81474e+8
8.58300e+3	2.80882e+8
8.63290e+3	2.80270e+8
8.68280e+3	2.79639e+8
8.73270e+3	2.78991e+8
8.78260e+3	2.78324e+8
8.83250e+3	2.77641e+8
8.88240e+3	2.76941e+8
8.93230e+3	2.76226e+8
8.98220e+3	2.75495e+8
9.03210e+3	2.74749e+8
9.08200e+3	2.73988e+8
9.13190e+3	2.73214e+8
9.18180e+3	2.72427e+8
9.23170e+3	2.71626e+8
9.28160e+3	2.70813e+8
9.33150e+3	2.69988e+8
9.38140e+3	2.69151e+8
9.43130e+3	2.68303e+8
9.48120e+3	2.67444e+8
9.53110e+3	2.66575e+8
9.58100e+3	2.65695e+8
9.63090e+3	2.64803e+8
9.68080e+3	2.63905e+8
9.73070e+3	2.62997e+8
9.78060e+3	2.62080e+8
9.83050e+3	2.61156e+8
9.88040e+3	2.60223e+8
9.93030e+3	2.59282e+8
9.98020e+3	2.58335e+8
1.00301e+4	2.57380e+8
1.00800e+4	2.56418e+8
1.01299e+4	2.55450e+8
1.01798e+4	2.54475e+8
1.02297e+4	2.53495e+8
1.02796e+4	2.52509e+8
1.03295e+4	2.51517e+8
1.03794e+4	2.50521e+8
1.04293e+4	2.49519e+8
1.04792e+4	2.48513e+8
1.05291e+4	2.47502e+8
1.05790e+4	2.46487e+8
1.06289e+4	2.45468e+8
1.06788e+4	2.44446e+8
1.07287e+4	2.43418e+8
1.07786e+4	2.42388e+8
1.08285e+4	2.41355e+8
1.08784e+4	2.40319e+8
1.09283e+4	2.39280e+8
1.09782e+4	2.38239e+8
1.10281e+4	2.37196e+8
1.10780e+4	2.36150e+8
1.11279e+4	2.35102e+8
1.11778e+4	2.34052e+8
1.12277e+4	2.33001e+8
1.12776e+4	2.31948e+8
1.13275e+4	2.30893e+8
1.13774e+4	2.29837e+8
1.14273e+4	2.28773e+8
1.14772e+4	2.27715e+8
1.15271e+4	2.26656e+8
1.15770e+4	2.25596e+8
