Энергия,eV   R    R^2
8978.864   0.092956   0.008641
8978.876   0.090513   0.008193
8978.888   0.088170   0.007774
8978.900   0.085923   0.007383
8978.902   0.084030   0.007061
8978.962   0.074381   0.005533
8979.022   0.066372   0.004405
8979.082   0.059638   0.003557
8979.143   0.053914   0.002907
8979.203   0.049002   0.002401
8979.263   0.044750   0.002003
8979.323   0.041043   0.001685
8979.383   0.037789   0.001428
8979.443   0.034916   0.001219
8979.504   0.032365   0.001047
8979.564   0.030089   0.000905
8979.624   0.028049   0.000787
8979.684   0.026213   0.000687
8979.744   0.024555   0.000603
8979.805   0.023051   0.000531
8979.865   0.021684   0.000470
8979.925   0.020436   0.000418
8979.985   0.019294   0.000372
8980.045   0.018246   0.000333
8980.105   0.017283   0.000299
8980.166   0.016394   0.000269
8980.226   0.015573   0.000243
8980.286   0.014813   0.000219
8980.346   0.014107   0.000199
8980.406   0.013452   0.000181
8980.466   0.012841   0.000165
8980.527   0.012271   0.000151
8980.587   0.011739   0.000138
