     Energy       F.Density    GA.Brill.            PL            PC          PL45
         eV  ph/s/mr^2/0.1%  F.Dens/mm^2             -             -             -
3.49320e+03       3.785e+11    4.660e+11  9.620695e-01  0.000000e+00  0.000000e+00
3.54310e+03       3.795e+11    4.672e+11  9.619344e-01  0.000000e+00  0.000000e+00
3.59300e+03       3.804e+11    4.684e+11  9.618020e-01  0.000000e+00  0.000000e+00
3.64290e+03       3.813e+11    4.694e+11  9.616724e-01  0.000000e+00  0.000000e+00
3.69280e+03       3.821e+11    4.705e+11  9.615455e-01  0.000000e+00  0.000000e+00
3.74270e+03       3.829e+11    4.714e+11  9.614211e-01  0.000000e+00  0.000000e+00
3.79260e+03       3.837e+11    4.723e+11  9.612993e-01  0.000000e+00  0.000000e+00
3.84250e+03       3.843e+11    4.732e+11  9.611800e-01  0.000000e+00  0.000000e+00
3.89240e+03       3.850e+11    4.740e+11  9.610630e-01  0.000000e+00  0.000000e+00
3.94230e+03       3.856e+11    4.747e+11  9.609485e-01  0.000000e+00  0.000000e+00
3.99220e+03       3.861e+11    4.754e+11  9.608362e-01  0.000000e+00  0.000000e+00
4.04210e+03       3.866e+11    4.760e+11  9.607261e-01  0.000000e+00  0.000000e+00
4.09200e+03       3.871e+11    4.765e+11  9.606183e-01  0.000000e+00  0.000000e+00
4.14190e+03       3.875e+11    4.770e+11  9.605125e-01  0.000000e+00  0.000000e+00
4.19180e+03       3.878e+11    4.775e+11  9.604089e-01  0.000000e+00  0.000000e+00
4.24170e+03       3.882e+11    4.779e+11  9.603073e-01  0.000000e+00  0.000000e+00
4.29160e+03       3.885e+11    4.783e+11  9.602077e-01  0.000000e+00  0.000000e+00
4.34150e+03       3.887e+11    4.786e+11  9.601100e-01  0.000000e+00  0.000000e+00
4.39140e+03       3.889e+11    4.788e+11  9.600143e-01  0.000000e+00  0.000000e+00
4.44130e+03       3.891e+11    4.790e+11  9.599204e-01  0.000000e+00  0.000000e+00
4.49120e+03       3.892e+11    4.792e+11  9.598283e-01  0.000000e+00  0.000000e+00
4.54110e+03       3.893e+11    4.793e+11  9.597380e-01  0.000000e+00  0.000000e+00
4.59100e+03       3.894e+11    4.794e+11  9.596494e-01  0.000000e+00  0.000000e+00
